run,source_log,dataset,sdg_method,qi,SynthDistance_auc,NNDR_auc,RA_as_MIA_auc,SynthDistance_advantage,NNDR_advantage,RA_as_MIA_advantage,SynthDistance_tpr_at_fpr001,NNDR_tpr_at_fpr001,RA_as_MIA_tpr_at_fpr001
2026-05-19_prerepair,mia_comparison_adult_20260519.txt,adult,MST_eps1000,QI1,0.499,0.502,0.497,0.004,0.015,0.009,0.009,0.009,0.0
2026-05-19_prerepair,mia_comparison_adult_20260519.txt,adult,Synthpop,QI1,0.548,0.581,0.517,0.075,0.124,0.035,0.036,0.042,0.0
2026-05-19_prerepair,mia_comparison_adult_20260519.txt,adult,TabDDPM,QI1,0.769,0.796,0.616,0.51,0.556,0.196,0.485,0.543,0.0
2026-05-26_prerepair,mia_comparison_cdc_20260526.log,cdc_diabetes,CellSuppression,QI1,0.618,0.641,0.604,0.365,0.369,0.232,0.369,0.369,0.0
2026-05-26_prerepair,mia_comparison_cdc_20260526.log,cdc_diabetes,MST_eps1,QI1,0.507,0.51,0.506,0.033,0.032,0.03,0.01,0.009,0.0
2026-05-26_prerepair,mia_comparison_cdc_20260526.log,cdc_diabetes,MST_eps1000,QI1,0.522,0.53,0.506,0.047,0.065,0.034,0.009,0.01,0.0
2026-05-26_prerepair,mia_comparison_cdc_20260526.log,cdc_diabetes,RankSwap,QI1,0.989,0.998,0.767,0.948,0.992,0.533,0.74,0.995,0.0
2026-05-26_prerepair,mia_comparison_cdc_20260526.log,cdc_diabetes,Synthpop,QI1,0.566,0.596,0.517,0.111,0.171,0.043,0.015,0.028,0.0
2026-05-26_prerepair,mia_comparison_cdc_20260526.log,cdc_diabetes,TabDDPM,QI1,0.802,0.808,0.706,0.615,0.616,0.417,0.622,0.622,0.0
2026-05-26_prerepair,mia_comparison_arizona_20260526.log,nist_arizona_25feat,CellSuppression,QI1,0.931,0.963,0.514,0.879,0.944,0.027,0.0,0.944,0.0
2026-05-26_prerepair,mia_comparison_arizona_20260526.log,nist_arizona_25feat,MST_eps1,QI1,0.502,0.516,0.5,0.01,0.069,0.008,0.007,0.009,0.006
2026-05-26_prerepair,mia_comparison_arizona_20260526.log,nist_arizona_25feat,MST_eps1000,QI1,0.501,0.515,0.499,0.008,0.069,0.007,0.006,0.012,0.008
2026-05-26_prerepair,mia_comparison_arizona_20260526.log,nist_arizona_25feat,RankSwap,QI1,0.84,0.908,0.514,0.636,0.791,0.025,0.0,0.044,0.0
2026-05-26_prerepair,mia_comparison_arizona_20260526.log,nist_arizona_25feat,Synthpop,QI1,0.514,0.561,0.504,0.03,0.081,0.011,0.0,0.04,0.0
2026-05-26_prerepair,mia_comparison_arizona_20260526.log,nist_arizona_25feat,TabDDPM,QI1,0.719,0.799,0.507,0.386,0.524,0.017,0.0,0.469,0.0
2026-05-27_prerepair,mia_comparison_arizona_qimed_20260527.log,nist_arizona_25feat,CellSuppression,QI_medium,0.931,0.963,,0.879,0.944,,0.0,0.944,
2026-05-27_prerepair,mia_comparison_arizona_qimed_20260527.log,nist_arizona_25feat,MST_eps1,QI_medium,0.502,0.516,,0.01,0.069,,0.007,0.009,
2026-05-27_prerepair,mia_comparison_arizona_qimed_20260527.log,nist_arizona_25feat,MST_eps1000,QI_medium,0.501,0.515,,0.008,0.069,,0.006,0.012,
2026-05-27_prerepair,mia_comparison_arizona_qimed_20260527.log,nist_arizona_25feat,RankSwap,QI_medium,0.84,0.908,,0.636,0.791,,0.0,0.044,
2026-05-27_prerepair,mia_comparison_arizona_qimed_20260527.log,nist_arizona_25feat,Synthpop,QI_medium,0.514,0.561,,0.03,0.081,,0.0,0.04,
2026-05-27_prerepair,mia_comparison_arizona_qimed_20260527.log,nist_arizona_25feat,TabDDPM,QI_medium,0.719,0.799,,0.386,0.524,,0.0,0.469,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,CellSuppression,QI1,0.963,0.973,0.647,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,MST_eps1,QI1,0.507,0.501,0.502,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,MST_eps1000,QI1,0.503,0.498,0.503,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,MWEMPGM_eps1,QI1,0.506,0.501,0.502,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,MWEMPGM_eps1000,QI1,0.508,0.503,0.504,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,PrivBayes_eps1,QI1,0.504,0.497,0.5,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,PrivBayes_eps1000,QI1,0.51,0.504,0.507,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,PrivSyn_eps1,QI1,0.505,0.502,0.496,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,PrivSyn_eps1000,QI1,0.504,0.497,0.503,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,PrivateGSD_eps1,QI1,0.505,0.498,0.506,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,PrivateGSD_eps1000,QI1,0.514,0.51,0.501,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,RankSwap,QI1,0.82,0.87,0.574,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,Synthpop,QI1,0.549,0.58,0.514,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,adult,TabDDPM,QI1,0.771,0.789,0.615,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,CellSuppression,QI1,0.618,0.641,0.607,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,MST_eps1,QI1,0.507,0.51,0.508,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,MST_eps1000,QI1,0.522,0.53,0.507,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,MWEMPGM_eps1,QI1,0.511,0.505,0.502,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,MWEMPGM_eps1000,QI1,0.513,0.518,0.508,,,,,,
