run,source_log,dataset,sdg_method,qi,SynthDistance_auc,NNDR_auc,RA_as_MIA_auc,SynthDistance_advantage,NNDR_advantage,RA_as_MIA_advantage,SynthDistance_tpr_at_fpr001,NNDR_tpr_at_fpr001,RA_as_MIA_tpr_at_fpr001
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,PrivBayes_eps1,QI1,0.518,0.527,0.502,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,PrivBayes_eps1000,QI1,0.55,0.557,0.517,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,PrivSyn_eps1,QI1,0.487,0.492,0.509,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,PrivSyn_eps1000,QI1,0.518,0.527,0.507,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,PrivateGSD_eps1,QI1,0.515,0.509,0.501,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,PrivateGSD_eps1000,QI1,0.539,0.55,0.512,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,RankSwap,QI1,0.989,0.998,0.769,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,Synthpop,QI1,0.566,0.596,0.524,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,cdc_diabetes,TabDDPM,QI1,0.802,0.808,0.696,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,CellSuppression,QI_medium,0.931,0.963,0.617,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,MST_eps1,QI_medium,0.502,0.516,0.498,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,MST_eps1000,QI_medium,0.501,0.516,0.498,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,MWEMPGM_eps1,QI_medium,0.499,0.508,0.5,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,MWEMPGM_eps1000,QI_medium,0.498,0.507,0.499,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,PrivBayes_eps1,QI_medium,0.502,0.511,0.503,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,PrivBayes_eps1000,QI_medium,0.507,0.518,0.5,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,PrivSyn_eps1,QI_medium,0.501,0.523,0.5,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,PrivSyn_eps1000,QI_medium,0.503,0.532,0.504,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,PrivateGSD_eps1,QI_medium,0.504,0.517,0.498,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,PrivateGSD_eps1000,QI_medium,0.508,0.521,0.503,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,RankSwap,QI_medium,0.84,0.908,0.553,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,Synthpop,QI_medium,0.514,0.561,0.506,,,,,,
2026-08-21_postrepair,mia_rerun_20260821.log,nist_arizona_25feat,TabDDPM,QI_medium,0.719,0.799,0.572,,,,,,
