dataset,size,qi,attack,sdg,sample,train_mean,nontrain_mean,delta_mean,error
adult,1000,QI_linear,RandomForest,TabDDPM,0,86.0,73.9,12.1,
adult,1000,QI_linear,MLP,CellSuppression,0,91.2,76.9,14.3,
adult,1000,QI_linear,MLP,PrivateGSD_eps1000,0,73.5,71.4,2.1,
adult,1000,QI_linear,MLP,RankSwap,0,77.4,79.1,-1.7,
adult,1000,QI_linear,KNN,TabDDPM,0,85.1,70.3,14.8,
adult,1000,QI_linear,RandomForest,Synthpop,0,73.4,71.0,2.4,
adult,1000,QI_linear,KNN,Synthpop,0,63.9,67.2,-3.3,
adult,1000,QI_linear,MLP,PrivateGSD_eps1,0,59.3,52.1,7.2,
adult,1000,QI_linear,MLP,PrivSyn_eps1,0,54.9,54.4,0.5,
adult,1000,QI_linear,KNN,CTGAN,0,51.1,49.7,1.4,
adult,1000,QI_linear,RandomForest,CTGAN,0,49.9,49.1,0.8,
adult,1000,QI_linear,MLP,TabDDPM,0,83.3,76.0,7.3,
adult,1000,QI_linear,RandomForest,AIM_eps1,0,55.0,55.2,-0.2,
adult,1000,QI_linear,KNN,AIM_eps1,0,48.8,49.5,-0.7,
adult,1000,QI_linear,MLP,Synthpop,0,75.3,76.7,-1.4,
adult,1000,QI_linear,RandomForest,MST_eps1,0,51.9,52.7,-0.8,
adult,1000,QI_linear,KNN,MST_eps1,0,45.9,48.6,-2.7,
adult,1000,QI_linear,MLP,CTGAN,0,51.9,47.4,4.5,
adult,1000,QI_linear,RandomForest,MST_eps10,0,60.5,61.2,-0.7,
adult,1000,QI_linear,KNN,MST_eps10,0,51.3,50.5,0.8,
adult,1000,QI_linear,RandomForest,MST_eps1000,0,51.6,54.0,-2.4,
adult,1000,QI_linear,KNN,MST_eps1000,0,50.0,50.0,0.0,
adult,1000,QI_linear,RandomForest,TVAE,0,61.3,61.0,0.3,
adult,1000,QI_linear,MLP,AIM_eps1,0,61.1,61.7,-0.6,
adult,1000,QI_linear,KNN,TVAE,0,60.1,62.4,-2.3,
adult,1000,QI_linear,MLP,MST_eps10,0,70.5,52.8,17.7,
adult,1000,QI_linear,MLP,MST_eps1,0,53.1,50.8,2.3,
adult,1000,QI_linear,RandomForest,ARF,0,65.8,68.9,-3.1,
adult,1000,QI_linear,KNN,ARF,0,59.8,63.6,-3.8,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1,1,49.6,58.1,-8.5,
adult,1000,QI_linear,MLP,MST_eps1000,0,66.8,66.9,-0.1,
adult,1000,QI_linear,KNN,PrivBayes_eps1,1,40.6,41.0,-0.4,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1000,1,74.5,74.6,-0.1,
adult,1000,QI_linear,MLP,TVAE,0,70.6,65.9,4.7,
adult,1000,QI_linear,KNN,PrivBayes_eps1000,1,50.2,50.6,-0.4,
adult,1000,QI_linear,MLP,ARF,0,70.4,74.0,-3.6,
adult,1000,QI_linear,KNN,PrivSyn_eps1000,1,58.6,56.6,2.0,
adult,1000,QI_linear,MLP,PrivSyn_eps1,1,64.1,68.6,-4.5,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1000,1,58.9,54.0,4.9,
adult,1000,QI_linear,MLP,PrivBayes_eps1,1,65.4,51.9,13.5,
adult,1000,QI_linear,MLP,PrivSyn_eps1000,1,74.8,72.0,2.8,
adult,1000,QI_linear,MLP,PrivBayes_eps1000,1,77.4,71.6,5.8,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1,1,49.0,47.5,1.5,
adult,1000,QI_linear,KNN,MWEMPGM_eps1,1,50.0,50.0,0.0,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1000,1,53.0,53.0,0.0,
adult,1000,QI_linear,KNN,MWEMPGM_eps1000,1,49.9,50.5,-0.6,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1,1,61.3,52.2,9.1,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1,1,57.3,57.1,0.2,
adult,1000,QI_linear,KNN,PrivateGSD_eps1,1,40.3,42.2,-1.9,
adult,1000,QI_linear,KNN,PrivSyn_eps1,1,62.1,59.0,3.1,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1000,1,53.1,53.2,-0.1,
adult,1000,QI_linear,MLP,MWEMPGM_eps1,1,46.0,51.9,-5.9,
adult,1000,QI_linear,MLP,MWEMPGM_eps1000,1,73.5,71.0,2.5,
adult,1000,QI_linear,KNN,PrivateGSD_eps1000,1,51.4,52.9,-1.5,
adult,1000,QI_linear,RandomForest,CellSuppression,1,95.1,70.5,24.6,
adult,1000,QI_linear,RandomForest,RankSwap,1,85.4,69.8,15.6,
adult,1000,QI_linear,KNN,RankSwap,1,87.4,63.7,23.7,
adult,1000,QI_linear,KNN,CellSuppression,1,93.7,65.3,28.4,
adult,1000,QI_linear,RandomForest,TabDDPM,1,88.9,70.5,18.4,
adult,1000,QI_linear,MLP,CellSuppression,1,92.7,77.0,15.7,
adult,1000,QI_linear,MLP,PrivateGSD_eps1000,1,75.0,72.8,2.2,
adult,1000,QI_linear,KNN,TabDDPM,1,86.1,65.8,20.3,
adult,1000,QI_linear,RandomForest,Synthpop,1,79.6,71.9,7.7,
adult,1000,QI_linear,KNN,Synthpop,1,69.8,60.9,8.9,
adult,1000,QI_linear,RandomForest,CTGAN,1,42.2,48.5,-6.3,
adult,1000,QI_linear,KNN,CTGAN,1,49.3,46.4,2.9,
adult,1000,QI_linear,MLP,PrivateGSD_eps1,1,67.9,63.6,4.3,
adult,1000,QI_linear,MLP,Synthpop,1,78.8,73.8,5.0,
adult,1000,QI_linear,RandomForest,AIM_eps1,1,70.1,65.9,4.2,
adult,1000,QI_linear,MLP,TabDDPM,1,86.7,74.5,12.2,
adult,1000,QI_linear,KNN,AIM_eps1,1,67.8,65.0,2.8,
adult,1000,QI_linear,RandomForest,MST_eps1,1,57.4,56.8,0.6,
adult,1000,QI_linear,MLP,CTGAN,1,57.7,55.6,2.1,
adult,1000,QI_linear,KNN,MST_eps1,1,57.4,56.0,1.4,
adult,1000,QI_linear,RandomForest,MST_eps10,1,68.1,66.4,1.7,
adult,1000,QI_linear,KNN,MST_eps10,1,66.5,67.3,-0.8,
adult,1000,QI_linear,MLP,MST_eps10,1,72.8,73.7,-0.9,
adult,1000,QI_linear,RandomForest,MST_eps1000,1,67.6,54.3,13.3,
adult,1000,QI_linear,MLP,AIM_eps1,1,64.3,62.4,1.9,
adult,1000,QI_linear,KNN,MST_eps1000,1,48.1,53.0,-4.9,
adult,1000,QI_linear,RandomForest,TVAE,1,65.1,66.3,-1.2,
adult,1000,QI_linear,MLP,RankSwap,1,76.8,75.1,1.7,
adult,1000,QI_linear,KNN,TVAE,1,60.3,60.4,-0.1,
adult,1000,QI_linear,RandomForest,ARF,1,73.2,62.5,10.7,
adult,1000,QI_linear,KNN,ARF,1,58.3,54.4,3.9,
adult,1000,QI_linear,MLP,MST_eps1000,1,73.9,64.9,9.0,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1,2,60.3,71.3,-11.0,
adult,1000,QI_linear,KNN,PrivBayes_eps1,2,48.0,49.7,-1.7,
adult,1000,QI_linear,MLP,MST_eps1,1,75.3,72.9,2.4,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1000,2,68.4,73.6,-5.2,
adult,1000,QI_linear,KNN,PrivBayes_eps1000,2,49.9,49.9,0.0,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1,2,47.5,45.6,1.9,
adult,1000,QI_linear,MLP,ARF,1,79.5,70.4,9.1,
adult,1000,QI_linear,KNN,PrivSyn_eps1,2,54.0,55.9,-1.9,
adult,1000,QI_linear,MLP,TVAE,1,69.6,67.4,2.2,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1000,2,63.2,62.0,1.2,
adult,1000,QI_linear,KNN,PrivSyn_eps1000,2,59.9,61.0,-1.1,
adult,1000,QI_linear,MLP,PrivBayes_eps1,2,68.2,61.6,6.6,
adult,1000,QI_linear,MLP,PrivBayes_eps1000,2,73.4,70.2,3.2,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1,2,50.2,49.7,0.5,
adult,1000,QI_linear,KNN,MWEMPGM_eps1,2,49.9,49.9,0.0,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1000,2,68.7,65.9,2.8,
adult,1000,QI_linear,KNN,MWEMPGM_eps1000,2,50.0,50.0,0.0,
adult,1000,QI_linear,MLP,PrivSyn_eps1,2,64.3,61.6,2.7,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1,2,55.6,56.0,-0.4,
adult,1000,QI_linear,KNN,PrivateGSD_eps1,2,59.5,59.5,0.0,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1000,2,56.1,52.5,3.6,
adult,1000,QI_linear,MLP,MWEMPGM_eps1,2,55.6,50.2,5.4,
adult,1000,QI_linear,KNN,PrivateGSD_eps1000,2,50.1,49.9,0.2,
adult,1000,QI_linear,MLP,PrivSyn_eps1000,2,66.0,65.1,0.9,
adult,1000,QI_linear,MLP,MWEMPGM_eps1000,2,75.4,74.5,0.9,
adult,1000,QI_linear,RandomForest,RankSwap,2,76.2,60.1,16.1,
adult,1000,QI_linear,MLP,PrivateGSD_eps1000,2,75.5,68.9,6.6,
adult,1000,QI_linear,KNN,RankSwap,2,86.7,62.9,23.8,
adult,1000,QI_linear,MLP,RankSwap,2,72.6,73.1,-0.5,
adult,1000,QI_linear,MLP,PrivateGSD_eps1,2,62.2,61.3,0.9,
adult,1000,QI_linear,RandomForest,TabDDPM,2,87.9,78.2,9.7,
adult,1000,QI_linear,KNN,TabDDPM,2,87.7,69.5,18.2,
adult,1000,QI_linear,RandomForest,Synthpop,2,75.4,73.9,1.5,
adult,1000,QI_linear,KNN,Synthpop,2,67.5,68.9,-1.4,
adult,1000,QI_linear,RandomForest,CTGAN,2,51.8,50.3,1.5,
adult,1000,QI_linear,KNN,CellSuppression,2,90.8,67.9,22.9,
adult,1000,QI_linear,KNN,CTGAN,2,52.3,50.1,2.2,
adult,1000,QI_linear,MLP,TabDDPM,2,87.0,76.0,11.0,
adult,1000,QI_linear,RandomForest,CellSuppression,2,92.8,70.4,22.4,
adult,1000,QI_linear,MLP,CellSuppression,2,90.4,74.5,15.9,
adult,1000,QI_linear,MLP,Synthpop,2,76.8,78.2,-1.4,
adult,1000,QI_linear,MLP,CTGAN,2,62.4,58.3,4.1,
adult,1000,QI_linear,RandomForest,AIM_eps1,2,52.2,53.4,-1.2,
adult,1000,QI_linear,RandomForest,MST_eps1,2,50.6,50.9,-0.3,
adult,1000,QI_linear,KNN,MST_eps1,2,53.3,53.2,0.1,
adult,1000,QI_linear,RandomForest,MST_eps10,2,56.2,66.2,-10.0,
adult,1000,QI_linear,KNN,AIM_eps1,2,53.1,51.0,2.1,
adult,1000,QI_linear,KNN,MST_eps10,2,57.2,59.2,-2.0,
adult,1000,QI_linear,RandomForest,MST_eps1000,2,70.5,64.3,6.2,
adult,1000,QI_linear,RandomForest,TVAE,2,55.5,52.8,2.7,
adult,1000,QI_linear,KNN,MST_eps1000,2,50.0,50.0,0.0,
adult,1000,QI_linear,MLP,MST_eps1,2,50.8,56.8,-6.0,
adult,1000,QI_linear,MLP,AIM_eps1,2,54.0,56.2,-2.2,
adult,1000,QI_linear,KNN,TVAE,2,55.6,56.1,-0.5,
adult,1000,QI_linear,KNN,ARF,2,61.9,58.2,3.7,
adult,1000,QI_linear,RandomForest,ARF,2,54.2,57.6,-3.4,
adult,1000,QI_linear,MLP,MST_eps10,2,66.7,65.8,0.9,
adult,1000,QI_linear,MLP,MST_eps1000,2,68.0,65.6,2.4,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1,3,57.9,58.6,-0.7,
adult,1000,QI_linear,KNN,PrivBayes_eps1,3,55.3,54.8,0.5,
adult,1000,QI_linear,MLP,ARF,2,70.9,71.6,-0.7,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1000,3,56.1,56.9,-0.8,
adult,1000,QI_linear,MLP,PrivBayes_eps1000,3,71.2,69.1,2.1,
adult,1000,QI_linear,MLP,PrivBayes_eps1,3,59.8,60.0,-0.2,
adult,1000,QI_linear,KNN,PrivSyn_eps1000,3,64.3,58.8,5.5,
adult,1000,QI_linear,KNN,PrivBayes_eps1000,3,55.6,55.2,0.4,
adult,1000,QI_linear,MLP,TVAE,2,67.8,67.9,-0.1,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1,3,54.9,50.8,4.1,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1,3,48.1,51.8,-3.7,
adult,1000,QI_linear,KNN,MWEMPGM_eps1,3,50.0,50.0,0.0,
adult,1000,QI_linear,KNN,PrivSyn_eps1,3,50.8,49.4,1.4,
adult,1000,QI_linear,MLP,PrivSyn_eps1,3,63.0,62.3,0.7,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1000,3,62.7,58.9,3.8,
adult,1000,QI_linear,MLP,PrivSyn_eps1000,3,73.2,70.6,2.6,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1000,3,68.2,72.0,-3.8,
adult,1000,QI_linear,KNN,MWEMPGM_eps1000,3,51.2,50.1,1.1,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1,3,58.0,53.0,5.0,
adult,1000,QI_linear,KNN,PrivateGSD_eps1,3,51.5,51.3,0.2,
adult,1000,QI_linear,MLP,MWEMPGM_eps1,3,46.4,40.6,5.8,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1000,3,57.4,58.5,-1.1,
adult,1000,QI_linear,KNN,PrivateGSD_eps1000,3,59.7,58.4,1.3,
adult,1000,QI_linear,RandomForest,CellSuppression,3,95.3,74.4,20.9,
adult,1000,QI_linear,MLP,MWEMPGM_eps1000,3,75.0,72.4,2.6,
adult,1000,QI_linear,KNN,CellSuppression,3,91.0,67.1,23.9,
adult,1000,QI_linear,RandomForest,RankSwap,3,79.8,66.0,13.8,
adult,1000,QI_linear,KNN,RankSwap,3,88.9,60.3,28.6,
adult,1000,QI_linear,MLP,PrivateGSD_eps1000,3,70.1,67.6,2.5,
adult,1000,QI_linear,RandomForest,TabDDPM,3,88.1,74.0,14.1,
adult,1000,QI_linear,KNN,TabDDPM,3,85.1,70.2,14.9,
adult,1000,QI_linear,MLP,CellSuppression,3,93.6,77.8,15.8,
adult,1000,QI_linear,MLP,PrivateGSD_eps1,3,68.1,61.1,7.0,
adult,1000,QI_linear,RandomForest,Synthpop,3,78.7,73.3,5.4,
adult,1000,QI_linear,MLP,RankSwap,3,80.1,75.4,4.7,
adult,1000,QI_linear,KNN,Synthpop,3,68.3,69.4,-1.1,
adult,1000,QI_linear,RandomForest,CTGAN,3,53.0,58.1,-5.1,
adult,1000,QI_linear,KNN,CTGAN,3,46.0,48.5,-2.5,
adult,1000,QI_linear,RandomForest,AIM_eps1,3,50.6,52.5,-1.9,
adult,1000,QI_linear,MLP,TabDDPM,3,85.8,76.6,9.2,
adult,1000,QI_linear,KNN,AIM_eps1,3,52.3,51.6,0.7,
adult,1000,QI_linear,MLP,Synthpop,3,78.1,79.3,-1.2,
adult,1000,QI_linear,RandomForest,MST_eps10,3,56.5,54.2,2.3,
adult,1000,QI_linear,KNN,MST_eps10,3,49.5,52.6,-3.1,
adult,1000,QI_linear,MLP,MST_eps10,3,73.7,68.7,5.0,
adult,1000,QI_linear,RandomForest,MST_eps1000,3,51.7,56.6,-4.9,
adult,1000,QI_linear,KNN,MST_eps1000,3,48.2,51.7,-3.5,
adult,1000,QI_linear,MLP,AIM_eps1,3,58.7,64.3,-5.6,
adult,1000,QI_linear,RandomForest,TVAE,3,63.9,65.4,-1.5,
adult,1000,QI_linear,KNN,TVAE,3,56.3,56.7,-0.4,
adult,1000,QI_linear,KNN,MST_eps1,3,49.7,51.2,-1.5,
adult,1000,QI_linear,MLP,MST_eps1000,3,61.5,70.2,-8.7,
adult,1000,QI_linear,MLP,MST_eps1,3,52.3,47.4,4.9,
adult,1000,QI_linear,MLP,CTGAN,3,54.7,53.3,1.4,
adult,1000,QI_linear,RandomForest,MST_eps1,3,50.7,49.6,1.1,
adult,1000,QI_linear,RandomForest,ARF,3,61.1,59.7,1.4,
adult,1000,QI_linear,KNN,ARF,3,61.8,61.2,0.6,
adult,1000,QI_linear,KNN,PrivBayes_eps1,4,46.1,44.8,1.3,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1,4,46.8,46.6,0.2,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1000,4,50.4,52.1,-1.7,
adult,1000,QI_linear,MLP,TVAE,3,72.5,71.1,1.4,
adult,1000,QI_linear,KNN,PrivBayes_eps1000,4,47.0,46.7,0.3,
adult,1000,QI_linear,MLP,ARF,3,77.6,72.6,5.0,
adult,1000,QI_linear,KNN,PrivSyn_eps1,4,41.1,44.2,-3.1,
adult,1000,QI_linear,MLP,PrivBayes_eps1,4,49.1,51.3,-2.2,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1,4,54.0,54.2,-0.2,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1000,4,53.3,52.3,1.0,
adult,1000,QI_linear,KNN,PrivSyn_eps1000,4,51.8,51.9,-0.1,
adult,1000,QI_linear,MLP,PrivBayes_eps1000,4,61.3,60.4,0.9,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1,4,50.9,52.4,-1.5,
adult,1000,QI_linear,KNN,MWEMPGM_eps1,4,50.0,50.0,0.0,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1000,4,69.4,67.7,1.7,
adult,1000,QI_linear,KNN,MWEMPGM_eps1000,4,50.0,50.0,0.0,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1,4,56.2,52.8,3.4,
adult,1000,QI_linear,KNN,PrivateGSD_eps1,4,45.1,47.9,-2.8,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1000,4,55.3,53.3,2.0,
adult,1000,QI_linear,MLP,PrivSyn_eps1,4,71.2,64.9,6.3,
adult,1000,QI_linear,KNN,PrivateGSD_eps1000,4,50.0,50.0,0.0,
adult,1000,QI_linear,MLP,MWEMPGM_eps1,4,61.7,55.4,6.3,
adult,1000,QI_linear,MLP,PrivSyn_eps1000,4,73.2,73.3,-0.1,
adult,1000,QI_linear,RandomForest,CellSuppression,4,93.2,73.6,19.6,
adult,1000,QI_linear,MLP,MWEMPGM_eps1000,4,77.0,69.5,7.5,
adult,1000,QI_linear,KNN,CellSuppression,4,92.7,70.3,22.4,
adult,1000,QI_linear,MLP,CellSuppression,4,90.8,79.0,11.8,
adult,1000,QI_linear,RandomForest,RankSwap,4,78.8,64.6,14.2,
adult,1000,QI_linear,MLP,PrivateGSD_eps1000,4,63.4,64.8,-1.4,
adult,1000,QI_linear,KNN,RankSwap,4,84.9,70.0,14.9,
adult,1000,QI_linear,MLP,PrivateGSD_eps1,4,65.4,66.3,-0.9,
adult,1000,QI_linear,RandomForest,TabDDPM,4,86.5,74.1,12.4,
adult,1000,QI_linear,RandomForest,Synthpop,4,73.0,72.9,0.1,
adult,1000,QI_linear,KNN,TabDDPM,4,84.4,70.2,14.2,
adult,1000,QI_linear,KNN,Synthpop,4,67.4,69.5,-2.1,
adult,1000,QI_linear,RandomForest,CTGAN,4,49.1,49.7,-0.6,
adult,1000,QI_linear,KNN,CTGAN,4,47.5,48.1,-0.6,
adult,1000,QI_linear,MLP,RankSwap,4,81.0,74.6,6.4,
adult,1000,QI_linear,RandomForest,AIM_eps1,4,53.9,50.9,3.0,
adult,1000,QI_linear,KNN,AIM_eps1,4,51.5,49.7,1.8,
adult,1000,QI_linear,MLP,Synthpop,4,79.6,74.0,5.6,
adult,1000,QI_linear,MLP,TabDDPM,4,86.7,73.3,13.4,
adult,1000,QI_linear,RandomForest,MST_eps1,4,54.4,51.9,2.5,
adult,1000,QI_linear,KNN,MST_eps1,4,56.4,58.0,-1.6,
adult,1000,QI_linear,MLP,CTGAN,4,48.6,47.2,1.4,
adult,1000,QI_linear,KNN,MST_eps10,4,55.0,55.3,-0.3,
adult,1000,QI_linear,RandomForest,MST_eps10,4,67.3,65.0,2.3,
adult,1000,QI_linear,RandomForest,MST_eps1000,4,70.4,61.3,9.1,
adult,1000,QI_linear,KNN,MST_eps1000,4,50.0,50.0,0.0,
adult,1000,QI_linear,RandomForest,TVAE,4,64.6,64.3,0.3,
adult,1000,QI_linear,KNN,TVAE,4,58.5,60.8,-2.3,
adult,1000,QI_linear,MLP,MST_eps1,4,63.9,63.1,0.8,
adult,1000,QI_linear,RandomForest,ARF,4,55.7,51.8,3.9,
adult,1000,QI_linear,MLP,AIM_eps1,4,61.5,60.3,1.2,
adult,1000,QI_linear,MLP,MST_eps10,4,67.8,65.6,2.2,
adult,1000,QI_linear,KNN,ARF,4,60.1,55.4,4.7,
adult,1000,QI_linear,MLP,MST_eps1000,4,69.5,70.2,-0.7,
adult,1000,QI_linear,MLP,ARF,4,78.6,72.6,6.0,
adult,1000,QI_linear,MLP,TVAE,4,67.8,72.2,-4.4,
