dataset,size,qi,attack,sdg,sample,train_mean,nontrain_mean,delta_mean,error
adult,1000,QI_linear,KNN,PrivBayes_eps1,0,50.5,46.8,3.7,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1,0,51.7,53.7,-2.0,
adult,1000,QI_linear,KNN,PrivBayes_eps1000,0,51.6,48.4,3.2,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1,0,51.8,53.5,-1.7,
adult,1000,QI_linear,RandomForest,PrivBayes_eps1000,0,54.5,52.3,2.2,
adult,1000,QI_linear,KNN,PrivSyn_eps1,0,54.0,54.2,-0.2,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1,0,51.5,55.7,-4.2,
adult,1000,QI_linear,KNN,MWEMPGM_eps1,0,49.4,49.8,-0.4,
adult,1000,QI_linear,KNN,PrivSyn_eps1000,0,54.7,56.7,-2.0,
adult,1000,QI_linear,RandomForest,PrivSyn_eps1000,0,56.9,70.9,-14.0,
adult,1000,QI_linear,MLP,PrivBayes_eps1000,0,67.5,64.9,2.6,
adult,1000,QI_linear,RandomForest,MWEMPGM_eps1000,0,66.7,69.3,-2.6,
adult,1000,QI_linear,KNN,MWEMPGM_eps1000,0,49.9,49.9,0.0,
adult,1000,QI_linear,MLP,PrivBayes_eps1,0,53.4,53.3,0.1,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1,0,51.1,50.3,0.8,
adult,1000,QI_linear,KNN,PrivateGSD_eps1,0,46.3,47.0,-0.7,
adult,1000,QI_linear,RandomForest,PrivateGSD_eps1000,0,57.8,55.3,2.5,
adult,1000,QI_linear,MLP,PrivSyn_eps1000,0,74.8,74.7,0.1,
adult,1000,QI_linear,KNN,PrivateGSD_eps1000,0,49.1,49.5,-0.4,
adult,1000,QI_linear,RandomForest,CellSuppression,0,94.6,76.7,17.9,
adult,1000,QI_linear,MLP,MWEMPGM_eps1000,0,70.9,72.4,-1.5,
adult,1000,QI_linear,KNN,CellSuppression,0,93.5,70.0,23.5,
adult,1000,QI_linear,MLP,MWEMPGM_eps1,0,56.5,54.9,1.6,
adult,1000,QI_linear,KNN,RankSwap,0,86.3,62.8,23.5,
adult,1000,QI_linear,RandomForest,RankSwap,0,78.5,67.4,11.1,
