sdg,attack,feature,outlier_mean,non_outlier_mean,diff
Synthpop,MLP,relationship,0.684,0.7976666666666666,-0.11366666666666658
Synthpop,MLP,capital-gain,0.92,0.913,0.007000000000000006
Synthpop,MLP,capital-loss,0.947,0.9514444444444444,-0.004444444444444473
Synthpop,MLP,hours-per-week,0.418,0.44566666666666666,-0.027666666666666673
Synthpop,MLP,income,0.872,0.8087777777777778,0.06322222222222218
Synthpop,LightGBM,workclass,0.669,0.7017777777777777,-0.032777777777777684
Synthpop,LightGBM,fnlwgt,0.0,0.00011111111111111112,-0.00011111111111111112
Synthpop,LightGBM,education-num,0.993,1.0,-0.007000000000000006
Synthpop,LightGBM,occupation,0.267,0.28644444444444445,-0.01944444444444443
Synthpop,LightGBM,relationship,0.671,0.7988888888888889,-0.12788888888888883
Synthpop,LightGBM,capital-gain,0.92,0.8871111111111111,0.03288888888888897
Synthpop,LightGBM,capital-loss,0.893,0.8702222222222222,0.022777777777777786
Synthpop,LightGBM,hours-per-week,0.184,0.25422222222222224,-0.07022222222222224
Synthpop,LightGBM,income,0.88,0.8186666666666667,0.06133333333333335
TabDDPM,Mode,workclass,0.705,0.7057777777777777,-0.0007777777777777661
TabDDPM,Mode,fnlwgt,0.0,0.00011111111111111112,-0.00011111111111111112
TabDDPM,Mode,education-num,0.134,0.34244444444444444,-0.20844444444444443
TabDDPM,Mode,occupation,0.097,0.13366666666666666,-0.03666666666666665
TabDDPM,Mode,relationship,0.191,0.4351111111111111,-0.2441111111111111
TabDDPM,Mode,capital-gain,0.933,0.9167777777777778,0.01622222222222225
TabDDPM,Mode,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
TabDDPM,Mode,hours-per-week,0.495,0.457,0.03799999999999998
TabDDPM,Mode,income,0.862,0.7397777777777778,0.12222222222222223
TabDDPM,KNN,workclass,0.805,0.6425555555555555,0.1624444444444445
TabDDPM,KNN,fnlwgt,0.024,0.0071111111111111115,0.01688888888888889
TabDDPM,KNN,education-num,0.815,0.978,-0.16300000000000003
TabDDPM,KNN,occupation,0.635,0.37455555555555553,0.2604444444444445
TabDDPM,KNN,relationship,0.792,0.8053333333333333,-0.013333333333333308
TabDDPM,KNN,capital-gain,0.92,0.8853333333333333,0.034666666666666734
TabDDPM,KNN,capital-loss,0.95,0.9174444444444444,0.03255555555555556
TabDDPM,KNN,hours-per-week,0.664,0.43144444444444446,0.23255555555555557
TabDDPM,KNN,income,0.926,0.801,0.125
TabDDPM,NaiveBayes,workclass,0.56,0.6914444444444444,-0.13144444444444436
TabDDPM,NaiveBayes,fnlwgt,0.02,0.004555555555555556,0.015444444444444445
TabDDPM,NaiveBayes,education-num,0.841,0.7497777777777778,0.0912222222222222
TabDDPM,NaiveBayes,occupation,0.207,0.10033333333333333,0.10666666666666666
TabDDPM,NaiveBayes,relationship,0.536,0.7593333333333333,-0.22333333333333327
TabDDPM,NaiveBayes,capital-gain,0.08,0.0014444444444444444,0.07855555555555556
TabDDPM,NaiveBayes,capital-loss,0.121,0.0036666666666666666,0.11733333333333333
TabDDPM,NaiveBayes,hours-per-week,0.086,0.003777777777777778,0.08222222222222221
TabDDPM,NaiveBayes,income,0.862,0.7256666666666667,0.1363333333333333
TabDDPM,RandomForest,workclass,0.837,0.7301111111111112,0.10688888888888881
TabDDPM,RandomForest,fnlwgt,0.027,0.00788888888888889,0.01911111111111111
TabDDPM,RandomForest,education-num,0.926,0.9914444444444445,-0.06544444444444442
TabDDPM,RandomForest,occupation,0.651,0.4161111111111111,0.23488888888888892
TabDDPM,RandomForest,relationship,0.829,0.8322222222222222,-0.0032222222222222374
TabDDPM,RandomForest,capital-gain,0.941,0.9125555555555556,0.028444444444444383
TabDDPM,RandomForest,capital-loss,0.964,0.9487777777777778,0.015222222222222137
TabDDPM,RandomForest,hours-per-week,0.698,0.5011111111111111,0.1968888888888889
TabDDPM,RandomForest,income,0.933,0.8314444444444444,0.10155555555555562
TabDDPM,CoBP-RA_graphQI_entropyBP,workclass,0.816,0.703,0.11299999999999999
TabDDPM,CoBP-RA_graphQI_entropyBP,fnlwgt,0.024,0.0074444444444444445,0.016555555555555556
TabDDPM,CoBP-RA_graphQI_entropyBP,education-num,0.971,0.9975555555555555,-0.026555555555555554
TabDDPM,CoBP-RA_graphQI_entropyBP,occupation,0.618,0.4043333333333333,0.21366666666666667
TabDDPM,CoBP-RA_graphQI_entropyBP,relationship,0.794,0.8277777777777777,-0.033777777777777684
TabDDPM,CoBP-RA_graphQI_entropyBP,capital-gain,0.94,0.9126666666666666,0.02733333333333332
TabDDPM,CoBP-RA_graphQI_entropyBP,capital-loss,0.964,0.9492222222222222,0.014777777777777779
TabDDPM,CoBP-RA_graphQI_entropyBP,hours-per-week,0.708,0.501,0.20699999999999996
TabDDPM,CoBP-RA_graphQI_entropyBP,income,0.92,0.8318888888888889,0.08811111111111114
TabDDPM,MLP,workclass,0.781,0.7202222222222222,0.06077777777777782
TabDDPM,MLP,fnlwgt,0.0,0.0,0.0
TabDDPM,MLP,education-num,0.984,0.9991111111111111,-0.015111111111111075
TabDDPM,MLP,occupation,0.54,0.3542222222222222,0.18577777777777782
TabDDPM,MLP,relationship,0.759,0.819,-0.05999999999999994
TabDDPM,MLP,capital-gain,0.93,0.9163333333333333,0.013666666666666716
TabDDPM,MLP,capital-loss,0.953,0.952,0.0010000000000000009
TabDDPM,MLP,hours-per-week,0.586,0.4708888888888889,0.11511111111111105
TabDDPM,MLP,income,0.922,0.8295555555555556,0.09244444444444444
TabDDPM,LightGBM,workclass,0.806,0.7205555555555555,0.08544444444444455
TabDDPM,LightGBM,fnlwgt,0.0,0.0,0.0
TabDDPM,LightGBM,education-num,0.334,0.5033333333333333,-0.16933333333333328
TabDDPM,LightGBM,occupation,0.649,0.37633333333333335,0.27266666666666667
TabDDPM,LightGBM,relationship,0.802,0.8228888888888889,-0.020888888888888846
TabDDPM,LightGBM,capital-gain,0.919,0.852,0.06700000000000006
TabDDPM,LightGBM,capital-loss,0.792,0.8315555555555556,-0.039555555555555566
TabDDPM,LightGBM,hours-per-week,0.11,0.0961111111111111,0.013888888888888895
TabDDPM,LightGBM,income,0.905,0.8286666666666667,0.07633333333333336
CTGAN,Mode,workclass,0.705,0.7057777777777777,-0.0007777777777777661
CTGAN,Mode,fnlwgt,0.0,0.00011111111111111112,-0.00011111111111111112
CTGAN,Mode,education-num,0.134,0.34244444444444444,-0.20844444444444443
CTGAN,Mode,occupation,0.097,0.13366666666666666,-0.03666666666666665
CTGAN,Mode,relationship,0.191,0.4351111111111111,-0.2441111111111111
CTGAN,Mode,capital-gain,0.933,0.9167777777777778,0.01622222222222225
CTGAN,Mode,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
CTGAN,Mode,hours-per-week,0.495,0.457,0.03799999999999998
CTGAN,Mode,income,0.862,0.7397777777777778,0.12222222222222223
CTGAN,KNN,workclass,0.555,0.5013333333333333,0.05366666666666675
CTGAN,KNN,fnlwgt,0.0,0.0,0.0
CTGAN,KNN,education-num,0.354,0.6973333333333334,-0.3433333333333334
CTGAN,KNN,occupation,0.116,0.15533333333333332,-0.03933333333333332
CTGAN,KNN,relationship,0.446,0.617,-0.17099999999999999
CTGAN,KNN,capital-gain,0.437,0.5031111111111111,-0.06611111111111106
CTGAN,KNN,capital-loss,0.572,0.5603333333333333,0.011666666666666603
CTGAN,KNN,hours-per-week,0.285,0.2441111111111111,0.040888888888888864
CTGAN,KNN,income,0.795,0.6657777777777778,0.12922222222222224
CTGAN,NaiveBayes,workclass,0.656,0.548,0.10799999999999998
CTGAN,NaiveBayes,fnlwgt,0.0,0.0,0.0
CTGAN,NaiveBayes,education-num,0.305,0.5124444444444445,-0.2074444444444445
CTGAN,NaiveBayes,occupation,0.182,0.178,0.0040000000000000036
CTGAN,NaiveBayes,relationship,0.465,0.6961111111111111,-0.2311111111111111
CTGAN,NaiveBayes,capital-gain,0.053,0.0015555555555555555,0.051444444444444445
CTGAN,NaiveBayes,capital-loss,0.004,0.0,0.004
CTGAN,NaiveBayes,hours-per-week,0.206,0.011555555555555555,0.19444444444444442
CTGAN,NaiveBayes,income,0.86,0.6668888888888889,0.19311111111111112
CTGAN,RandomForest,workclass,0.623,0.6145555555555555,0.008444444444444477
CTGAN,RandomForest,fnlwgt,0.0,0.0,0.0
CTGAN,RandomForest,education-num,0.553,0.8007777777777778,-0.24777777777777776
CTGAN,RandomForest,occupation,0.166,0.17455555555555555,-0.008555555555555538
CTGAN,RandomForest,relationship,0.518,0.6992222222222222,-0.18122222222222217
CTGAN,RandomForest,capital-gain,0.755,0.7561111111111111,-0.0011111111111110628
CTGAN,RandomForest,capital-loss,0.82,0.7965555555555556,0.02344444444444438
CTGAN,RandomForest,hours-per-week,0.411,0.36444444444444446,0.04655555555555552
CTGAN,RandomForest,income,0.859,0.7225555555555555,0.13644444444444448
CTGAN,CoBP-RA_graphQI_entropyBP,workclass,0.631,0.5997777777777777,0.031222222222222262
CTGAN,CoBP-RA_graphQI_entropyBP,fnlwgt,0.0,0.0,0.0
CTGAN,CoBP-RA_graphQI_entropyBP,education-num,0.738,0.9221111111111111,-0.18411111111111111
CTGAN,CoBP-RA_graphQI_entropyBP,occupation,0.202,0.18933333333333333,0.012666666666666687
CTGAN,CoBP-RA_graphQI_entropyBP,relationship,0.552,0.7321111111111112,-0.1801111111111111
CTGAN,CoBP-RA_graphQI_entropyBP,capital-gain,0.736,0.7705555555555555,-0.03455555555555556
CTGAN,CoBP-RA_graphQI_entropyBP,capital-loss,0.807,0.8094444444444444,-0.0024444444444443603
CTGAN,CoBP-RA_graphQI_entropyBP,hours-per-week,0.404,0.36344444444444446,0.04055555555555557
CTGAN,CoBP-RA_graphQI_entropyBP,income,0.852,0.7243333333333334,0.1276666666666666
CTGAN,MLP,workclass,0.674,0.6758888888888889,-0.0018888888888888289
CTGAN,MLP,fnlwgt,0.0,0.0,0.0
CTGAN,MLP,education-num,0.668,0.914,-0.246
CTGAN,MLP,occupation,0.193,0.21822222222222223,-0.02522222222222223
CTGAN,MLP,relationship,0.573,0.7574444444444445,-0.18444444444444452
CTGAN,MLP,capital-gain,0.853,0.8985555555555556,-0.04555555555555557
CTGAN,MLP,capital-loss,0.849,0.9223333333333333,-0.07333333333333336
CTGAN,MLP,hours-per-week,0.453,0.44566666666666666,0.007333333333333358
CTGAN,MLP,income,0.871,0.7463333333333333,0.1246666666666667
CTGAN,LightGBM,workclass,0.658,0.6816666666666666,-0.023666666666666614
CTGAN,LightGBM,fnlwgt,0.0,0.0,0.0
CTGAN,LightGBM,education-num,0.597,0.8844444444444445,-0.2874444444444445
CTGAN,LightGBM,occupation,0.183,0.21466666666666667,-0.031666666666666676
CTGAN,LightGBM,relationship,0.522,0.7545555555555555,-0.23255555555555552
CTGAN,LightGBM,capital-gain,0.371,0.4285555555555556,-0.05755555555555558
CTGAN,LightGBM,capital-loss,0.484,0.5267777777777778,-0.0427777777777778
CTGAN,LightGBM,hours-per-week,0.487,0.4507777777777778,0.03622222222222221
CTGAN,LightGBM,income,0.868,0.7471111111111111,0.12088888888888893
TVAE,Mode,workclass,0.705,0.7057777777777777,-0.0007777777777777661
TVAE,Mode,fnlwgt,0.0,0.0,0.0
TVAE,Mode,education-num,0.196,0.22844444444444445,-0.03244444444444444
TVAE,Mode,occupation,0.084,0.13233333333333333,-0.048333333333333325
TVAE,Mode,relationship,0.191,0.4351111111111111,-0.2441111111111111
TVAE,Mode,capital-gain,0.933,0.9167777777777778,0.01622222222222225
TVAE,Mode,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
TVAE,Mode,hours-per-week,0.495,0.457,0.03799999999999998
TVAE,Mode,income,0.862,0.7397777777777778,0.12222222222222223
TVAE,KNN,workclass,0.666,0.6483333333333333,0.01766666666666672
TVAE,KNN,fnlwgt,0.0,0.0,0.0
TVAE,KNN,education-num,0.315,0.7863333333333333,-0.4713333333333333
TVAE,KNN,occupation,0.177,0.22211111111111112,-0.04511111111111113
TVAE,KNN,relationship,0.351,0.6962222222222222,-0.3452222222222222
TVAE,KNN,capital-gain,0.777,0.6145555555555555,0.1624444444444445
TVAE,KNN,capital-loss,0.828,0.7284444444444444,0.09955555555555551
TVAE,KNN,hours-per-week,0.471,0.34655555555555556,0.12444444444444441
TVAE,KNN,income,0.838,0.756,0.08199999999999996
TVAE,NaiveBayes,workclass,0.12,0.3254444444444444,-0.20544444444444443
TVAE,NaiveBayes,fnlwgt,0.0,0.0,0.0
TVAE,NaiveBayes,education-num,0.07,0.025666666666666667,0.044333333333333336
TVAE,NaiveBayes,occupation,0.1,0.06222222222222222,0.037777777777777785
TVAE,NaiveBayes,relationship,0.205,0.6833333333333333,-0.4783333333333334
TVAE,NaiveBayes,capital-gain,0.047,0.01988888888888889,0.02711111111111111
TVAE,NaiveBayes,capital-loss,0.804,0.13677777777777778,0.6672222222222223
TVAE,NaiveBayes,hours-per-week,0.087,0.03855555555555556,0.048444444444444436
TVAE,NaiveBayes,income,0.861,0.7202222222222222,0.14077777777777778
TVAE,RandomForest,workclass,0.672,0.6873333333333334,-0.01533333333333331
TVAE,RandomForest,fnlwgt,0.0,0.0,0.0
TVAE,RandomForest,education-num,0.6,0.8963333333333333,-0.29633333333333334
TVAE,RandomForest,occupation,0.245,0.26311111111111113,-0.018111111111111133
TVAE,RandomForest,relationship,0.607,0.7563333333333333,-0.14933333333333332
TVAE,RandomForest,capital-gain,0.811,0.8422222222222222,-0.03122222222222215
TVAE,RandomForest,capital-loss,0.852,0.8765555555555555,-0.024555555555555553
TVAE,RandomForest,hours-per-week,0.481,0.41933333333333334,0.06166666666666665
TVAE,RandomForest,income,0.856,0.7833333333333333,0.07266666666666666
TVAE,CoBP-RA_graphQI_entropyBP,workclass,0.594,0.6656666666666666,-0.07166666666666666
