sdg,attack,feature,outlier_mean,non_outlier_mean,diff
CellSuppression,Mode,workclass,0.705,0.7057777777777777,-0.0007777777777777661
CellSuppression,Mode,fnlwgt,0.001,0.0006666666666666666,0.0003333333333333334
CellSuppression,Mode,education-num,0.134,0.34244444444444444,-0.20844444444444443
CellSuppression,Mode,occupation,0.097,0.13366666666666666,-0.03666666666666665
CellSuppression,Mode,relationship,0.191,0.4351111111111111,-0.2441111111111111
CellSuppression,Mode,capital-gain,0.933,0.9167777777777778,0.01622222222222225
CellSuppression,Mode,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
CellSuppression,Mode,hours-per-week,0.495,0.457,0.03799999999999998
CellSuppression,Mode,income,0.862,0.7397777777777778,0.12222222222222223
CellSuppression,KNN,workclass,0.855,0.6847777777777778,0.17022222222222216
CellSuppression,KNN,fnlwgt,0.672,0.3068888888888889,0.36511111111111116
CellSuppression,KNN,education-num,0.846,0.9947777777777778,-0.1487777777777778
CellSuppression,KNN,occupation,0.741,0.43855555555555553,0.30244444444444446
CellSuppression,KNN,relationship,0.826,0.8333333333333334,-0.007333333333333414
CellSuppression,KNN,capital-gain,0.963,0.8868888888888888,0.07611111111111113
CellSuppression,KNN,capital-loss,0.981,0.9291111111111111,0.05188888888888887
CellSuppression,KNN,hours-per-week,0.781,0.4666666666666667,0.31433333333333335
CellSuppression,KNN,income,0.946,0.8293333333333334,0.11666666666666659
CellSuppression,NaiveBayes,workclass,0.46,0.5378888888888889,-0.07788888888888884
CellSuppression,NaiveBayes,fnlwgt,0.632,0.28733333333333333,0.3446666666666667
CellSuppression,NaiveBayes,education-num,0.986,1.0,-0.014000000000000012
CellSuppression,NaiveBayes,occupation,0.204,0.08888888888888889,0.1151111111111111
CellSuppression,NaiveBayes,relationship,0.469,0.7504444444444445,-0.2814444444444445
CellSuppression,NaiveBayes,capital-gain,0.122,0.008444444444444444,0.11355555555555555
CellSuppression,NaiveBayes,capital-loss,0.072,0.009777777777777778,0.06222222222222222
CellSuppression,NaiveBayes,hours-per-week,0.068,0.004111111111111111,0.0638888888888889
CellSuppression,NaiveBayes,income,0.873,0.762,0.11099999999999999
CellSuppression,RandomForest,workclass,0.874,0.773,0.10099999999999998
CellSuppression,RandomForest,fnlwgt,0.672,0.311,0.36100000000000004
CellSuppression,RandomForest,education-num,0.939,0.9987777777777778,-0.05977777777777782
CellSuppression,RandomForest,occupation,0.754,0.5024444444444445,0.25155555555555553
CellSuppression,RandomForest,relationship,0.871,0.8661111111111112,0.0048888888888888316
CellSuppression,RandomForest,capital-gain,0.973,0.9285555555555556,0.0444444444444444
CellSuppression,RandomForest,capital-loss,0.982,0.959,0.02300000000000002
CellSuppression,RandomForest,hours-per-week,0.82,0.5727777777777778,0.24722222222222212
CellSuppression,RandomForest,income,0.965,0.8606666666666667,0.10433333333333328
CellSuppression,CoBP-RA_graphQI_entropyBP,workclass,0.841,0.7515555555555555,0.08944444444444444
CellSuppression,CoBP-RA_graphQI_entropyBP,fnlwgt,0.672,0.3111111111111111,0.3608888888888889
CellSuppression,CoBP-RA_graphQI_entropyBP,education-num,0.997,1.0,-0.0030000000000000027
CellSuppression,CoBP-RA_graphQI_entropyBP,occupation,0.681,0.4746666666666667,0.20633333333333337
CellSuppression,CoBP-RA_graphQI_entropyBP,relationship,0.827,0.8503333333333334,-0.023333333333333428
CellSuppression,CoBP-RA_graphQI_entropyBP,capital-gain,0.97,0.9285555555555556,0.041444444444444395
CellSuppression,CoBP-RA_graphQI_entropyBP,capital-loss,0.983,0.9592222222222222,0.023777777777777787
CellSuppression,CoBP-RA_graphQI_entropyBP,hours-per-week,0.818,0.5724444444444444,0.24555555555555553
CellSuppression,CoBP-RA_graphQI_entropyBP,income,0.949,0.8555555555555555,0.09344444444444444
CellSuppression,MLP,workclass,0.736,0.7144444444444444,0.02155555555555555
CellSuppression,MLP,fnlwgt,0.001,0.001,0.0
CellSuppression,MLP,education-num,1.0,1.0,0.0
CellSuppression,MLP,occupation,0.484,0.358,0.126
CellSuppression,MLP,relationship,0.726,0.8093333333333333,-0.08333333333333337
CellSuppression,MLP,capital-gain,0.951,0.918,0.03299999999999992
CellSuppression,MLP,capital-loss,0.958,0.9526666666666667,0.005333333333333301
CellSuppression,MLP,hours-per-week,0.598,0.4716666666666667,0.1263333333333333
CellSuppression,MLP,income,0.92,0.8382222222222222,0.08177777777777784
CellSuppression,LightGBM,workclass,0.716,0.6584444444444445,0.05755555555555547
CellSuppression,LightGBM,fnlwgt,0.016,0.0026666666666666666,0.013333333333333334
CellSuppression,LightGBM,education-num,1.0,1.0,0.0
CellSuppression,LightGBM,occupation,0.72,0.4142222222222222,0.30577777777777776
CellSuppression,LightGBM,relationship,0.83,0.8343333333333334,-0.004333333333333411
CellSuppression,LightGBM,capital-gain,0.723,0.8656666666666667,-0.14266666666666672
CellSuppression,LightGBM,capital-loss,0.866,0.9332222222222222,-0.06722222222222218
CellSuppression,LightGBM,hours-per-week,0.23,0.14655555555555555,0.08344444444444446
CellSuppression,LightGBM,income,0.916,0.8372222222222222,0.07877777777777784
RankSwap,Mode,workclass,0.705,0.7057777777777777,-0.0007777777777777661
RankSwap,Mode,fnlwgt,0.0,0.0,0.0
RankSwap,Mode,education-num,0.134,0.34244444444444444,-0.20844444444444443
RankSwap,Mode,occupation,0.097,0.13366666666666666,-0.03666666666666665
RankSwap,Mode,relationship,0.191,0.4351111111111111,-0.2441111111111111
RankSwap,Mode,capital-gain,0.933,0.9167777777777778,0.01622222222222225
RankSwap,Mode,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
RankSwap,Mode,hours-per-week,0.495,0.457,0.03799999999999998
RankSwap,Mode,income,0.862,0.7397777777777778,0.12222222222222223
RankSwap,KNN,workclass,0.845,0.5766666666666667,0.2683333333333333
RankSwap,KNN,fnlwgt,0.0,0.0,0.0
RankSwap,KNN,education-num,0.51,0.6087777777777778,-0.09877777777777774
RankSwap,KNN,occupation,0.738,0.2678888888888889,0.4701111111111111
RankSwap,KNN,relationship,0.845,0.7626666666666667,0.08233333333333326
RankSwap,KNN,capital-gain,0.905,0.8397777777777777,0.06522222222222229
RankSwap,KNN,capital-loss,0.934,0.9162222222222223,0.01777777777777778
RankSwap,KNN,hours-per-week,0.508,0.2668888888888889,0.2411111111111111
RankSwap,KNN,income,0.954,0.789,0.16499999999999992
RankSwap,NaiveBayes,workclass,0.605,0.5477777777777778,0.057222222222222174
RankSwap,NaiveBayes,fnlwgt,0.0,0.0,0.0
RankSwap,NaiveBayes,education-num,0.434,0.7045555555555556,-0.2705555555555556
RankSwap,NaiveBayes,occupation,0.187,0.085,0.102
RankSwap,NaiveBayes,relationship,0.517,0.7551111111111111,-0.23811111111111105
RankSwap,NaiveBayes,capital-gain,0.138,0.0024444444444444444,0.13555555555555557
RankSwap,NaiveBayes,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
RankSwap,NaiveBayes,hours-per-week,0.166,0.011444444444444445,0.15455555555555556
RankSwap,NaiveBayes,income,0.868,0.7655555555555555,0.10244444444444445
RankSwap,RandomForest,workclass,0.799,0.689,0.1100000000000001
RankSwap,RandomForest,fnlwgt,0.0,0.00011111111111111112,-0.00011111111111111112
RankSwap,RandomForest,education-num,0.558,0.8038888888888889,-0.24588888888888882
RankSwap,RandomForest,occupation,0.695,0.3108888888888889,0.38411111111111107
RankSwap,RandomForest,relationship,0.786,0.7975555555555556,-0.011555555555555541
RankSwap,RandomForest,capital-gain,0.925,0.9052222222222223,0.019777777777777783
RankSwap,RandomForest,capital-loss,0.944,0.9442222222222222,-0.00022222222222223476
RankSwap,RandomForest,hours-per-week,0.507,0.394,0.11299999999999999
RankSwap,RandomForest,income,0.935,0.8152222222222222,0.11977777777777787
RankSwap,CoBP-RA_graphQI_entropyBP,workclass,0.797,0.6596666666666666,0.13733333333333342
RankSwap,CoBP-RA_graphQI_entropyBP,fnlwgt,0.0,0.0,0.0
RankSwap,CoBP-RA_graphQI_entropyBP,education-num,0.621,0.8483333333333334,-0.2273333333333334
RankSwap,CoBP-RA_graphQI_entropyBP,occupation,0.652,0.31677777777777777,0.33522222222222225
RankSwap,CoBP-RA_graphQI_entropyBP,relationship,0.752,0.7961111111111111,-0.0441111111111111
RankSwap,CoBP-RA_graphQI_entropyBP,capital-gain,0.928,0.9024444444444445,0.025555555555555554
RankSwap,CoBP-RA_graphQI_entropyBP,capital-loss,0.945,0.9445555555555556,0.0004444444444443585
RankSwap,CoBP-RA_graphQI_entropyBP,hours-per-week,0.492,0.3547777777777778,0.1372222222222222
RankSwap,CoBP-RA_graphQI_entropyBP,income,0.926,0.8125555555555556,0.11344444444444446
RankSwap,MLP,workclass,0.715,0.7055555555555556,0.009444444444444366
RankSwap,MLP,fnlwgt,0.0,0.00011111111111111112,-0.00011111111111111112
RankSwap,MLP,education-num,0.633,0.8382222222222222,-0.2052222222222222
RankSwap,MLP,occupation,0.383,0.2971111111111111,0.0858888888888889
RankSwap,MLP,relationship,0.654,0.7914444444444444,-0.13744444444444437
RankSwap,MLP,capital-gain,0.925,0.9152222222222223,0.009777777777777774
RankSwap,MLP,capital-loss,0.946,0.9507777777777778,-0.004777777777777881
RankSwap,MLP,hours-per-week,0.46,0.448,0.01200000000000001
RankSwap,MLP,income,0.896,0.8162222222222222,0.07977777777777784
RankSwap,LightGBM,workclass,0.774,0.71,0.06400000000000006
RankSwap,LightGBM,fnlwgt,0.0,0.0,0.0
RankSwap,LightGBM,education-num,0.579,0.8265555555555556,-0.24755555555555564
RankSwap,LightGBM,occupation,0.577,0.32466666666666666,0.2523333333333333
RankSwap,LightGBM,relationship,0.742,0.8051111111111111,-0.06311111111111112
RankSwap,LightGBM,capital-gain,0.924,0.8746666666666667,0.04933333333333334
RankSwap,LightGBM,capital-loss,0.95,0.9517777777777777,-0.001777777777777767
RankSwap,LightGBM,hours-per-week,0.143,0.10922222222222222,0.03377777777777777
RankSwap,LightGBM,income,0.911,0.823,0.08800000000000008
Synthpop,Mode,workclass,0.705,0.7057777777777777,-0.0007777777777777661
Synthpop,Mode,fnlwgt,0.0,0.00022222222222222223,-0.00022222222222222223
Synthpop,Mode,education-num,0.134,0.34244444444444444,-0.20844444444444443
Synthpop,Mode,occupation,0.097,0.13366666666666666,-0.03666666666666665
Synthpop,Mode,relationship,0.191,0.4351111111111111,-0.2441111111111111
Synthpop,Mode,capital-gain,0.933,0.9167777777777778,0.01622222222222225
Synthpop,Mode,capital-loss,0.951,0.9517777777777777,-0.0007777777777777661
Synthpop,Mode,hours-per-week,0.495,0.457,0.03799999999999998
Synthpop,Mode,income,0.862,0.7397777777777778,0.12222222222222223
Synthpop,KNN,workclass,0.551,0.5354444444444444,0.015555555555555656
Synthpop,KNN,fnlwgt,0.009,0.01211111111111111,-0.0031111111111111114
Synthpop,KNN,education-num,0.625,0.9672222222222222,-0.3422222222222222
Synthpop,KNN,occupation,0.207,0.19666666666666666,0.010333333333333333
Synthpop,KNN,relationship,0.583,0.7397777777777778,-0.1567777777777778
Synthpop,KNN,capital-gain,0.883,0.8453333333333334,0.037666666666666626
Synthpop,KNN,capital-loss,0.909,0.9051111111111111,0.0038888888888889417
Synthpop,KNN,hours-per-week,0.273,0.2594444444444444,0.013555555555555598
Synthpop,KNN,income,0.802,0.7551111111111111,0.04688888888888898
Synthpop,NaiveBayes,workclass,0.455,0.101,0.354
Synthpop,NaiveBayes,fnlwgt,0.016,0.013,0.003000000000000001
Synthpop,NaiveBayes,education-num,1.0,1.0,0.0
Synthpop,NaiveBayes,occupation,0.158,0.042777777777777776,0.11522222222222223
Synthpop,NaiveBayes,relationship,0.604,0.755,-0.15100000000000002
Synthpop,NaiveBayes,capital-gain,0.113,0.0044444444444444444,0.10855555555555556
Synthpop,NaiveBayes,capital-loss,0.207,0.005555555555555556,0.20144444444444443
Synthpop,NaiveBayes,hours-per-week,0.066,0.0032222222222222222,0.06277777777777778
Synthpop,NaiveBayes,income,0.862,0.7594444444444445,0.10255555555555551
Synthpop,RandomForest,workclass,0.643,0.6596666666666666,-0.016666666666666607
Synthpop,RandomForest,fnlwgt,0.013,0.014222222222222223,-0.0012222222222222235
Synthpop,RandomForest,education-num,0.849,0.9866666666666667,-0.13766666666666671
Synthpop,RandomForest,occupation,0.266,0.24977777777777777,0.01622222222222225
Synthpop,RandomForest,relationship,0.649,0.7737777777777778,-0.12477777777777777
Synthpop,RandomForest,capital-gain,0.921,0.9018888888888889,0.01911111111111119
Synthpop,RandomForest,capital-loss,0.943,0.9427777777777778,0.00022222222222212373
Synthpop,RandomForest,hours-per-week,0.392,0.37744444444444447,0.014555555555555544
Synthpop,RandomForest,income,0.846,0.7977777777777778,0.048222222222222166
Synthpop,CoBP-RA_graphQI_entropyBP,workclass,0.614,0.6282222222222222,-0.014222222222222247
Synthpop,CoBP-RA_graphQI_entropyBP,fnlwgt,0.012,0.014,-0.002
Synthpop,CoBP-RA_graphQI_entropyBP,education-num,0.991,0.9996666666666667,-0.008666666666666711
Synthpop,CoBP-RA_graphQI_entropyBP,occupation,0.288,0.26,0.02799999999999997
Synthpop,CoBP-RA_graphQI_entropyBP,relationship,0.67,0.7708888888888888,-0.1008888888888888
Synthpop,CoBP-RA_graphQI_entropyBP,capital-gain,0.921,0.9027777777777778,0.01822222222222225
Synthpop,CoBP-RA_graphQI_entropyBP,capital-loss,0.945,0.9455555555555556,-0.0005555555555556424
Synthpop,CoBP-RA_graphQI_entropyBP,hours-per-week,0.396,0.37322222222222223,0.022777777777777786
Synthpop,CoBP-RA_graphQI_entropyBP,income,0.843,0.7951111111111111,0.04788888888888887
Synthpop,MLP,workclass,0.657,0.7033333333333334,-0.04633333333333334
Synthpop,MLP,fnlwgt,0.019,0.015555555555555555,0.0034444444444444444
Synthpop,MLP,education-num,1.0,1.0,0.0
Synthpop,MLP,occupation,0.278,0.2887777777777778,-0.010777777777777775
