dataset,size,sample,sdg,qi,eq_threshold,rare_threshold,feature,n_targets,n_es,n_is,n_rs,n_eirs,ds
adult,1000,1,AIM_eps1,QI1,5,0.1,hours-per-week,1000,954,34,563,1,0.001
adult,1000,1,AIM_eps1,QI1,5,0.1,income,1000,954,65,0,0,0.0
adult,1000,1,AIM_eps1,QI1,5,0.1,_overall,1000,954,113,1000,4,0.004
adult,1000,1,MST_eps1,QI1,5,0.1,workclass,1000,954,52,294,1,0.001
adult,1000,1,MST_eps1,QI1,5,0.1,fnlwgt,1000,954,0,1000,0,0.0
adult,1000,1,MST_eps1,QI1,5,0.1,education-num,1000,954,68,272,1,0.001
adult,1000,1,MST_eps1,QI1,5,0.1,occupation,1000,954,9,381,1,0.001
adult,1000,1,MST_eps1,QI1,5,0.1,relationship,1000,954,76,75,0,0.0
adult,1000,1,MST_eps1,QI1,5,0.1,capital-gain,1000,954,76,95,0,0.0
adult,1000,1,MST_eps1,QI1,5,0.1,capital-loss,1000,954,83,43,0,0.0
adult,1000,1,MST_eps1,QI1,5,0.1,hours-per-week,1000,954,20,563,1,0.001
adult,1000,1,MST_eps1,QI1,5,0.1,income,1000,954,49,0,0,0.0
adult,1000,1,MST_eps1,QI1,5,0.1,_overall,1000,954,89,1000,4,0.004
adult,1000,1,MST_eps10,QI1,5,0.1,workclass,1000,954,92,294,0,0.0
adult,1000,1,MST_eps10,QI1,5,0.1,fnlwgt,1000,954,0,1000,0,0.0
adult,1000,1,MST_eps10,QI1,5,0.1,education-num,1000,954,96,272,21,0.021
adult,1000,1,MST_eps10,QI1,5,0.1,occupation,1000,954,23,381,4,0.004
adult,1000,1,MST_eps10,QI1,5,0.1,relationship,1000,954,111,75,6,0.006
adult,1000,1,MST_eps10,QI1,5,0.1,capital-gain,1000,954,129,95,0,0.0
adult,1000,1,MST_eps10,QI1,5,0.1,capital-loss,1000,954,140,43,0,0.0
adult,1000,1,MST_eps10,QI1,5,0.1,hours-per-week,1000,954,0,563,0,0.0
adult,1000,1,MST_eps10,QI1,5,0.1,income,1000,954,99,0,0,0.0
adult,1000,1,MST_eps10,QI1,5,0.1,_overall,1000,954,145,1000,28,0.028
adult,1000,1,MST_eps100,QI1,5,0.1,workclass,1000,954,46,294,0,0.0
adult,1000,1,MST_eps100,QI1,5,0.1,fnlwgt,1000,954,0,1000,0,0.0
adult,1000,1,MST_eps100,QI1,5,0.1,education-num,1000,954,20,272,4,0.004
adult,1000,1,MST_eps100,QI1,5,0.1,occupation,1000,954,18,381,1,0.001
adult,1000,1,MST_eps100,QI1,5,0.1,relationship,1000,954,50,75,2,0.002
adult,1000,1,MST_eps100,QI1,5,0.1,capital-gain,1000,954,0,95,0,0.0
adult,1000,1,MST_eps100,QI1,5,0.1,capital-loss,1000,954,0,43,0,0.0
adult,1000,1,MST_eps100,QI1,5,0.1,hours-per-week,1000,954,3,563,3,0.003
adult,1000,1,MST_eps100,QI1,5,0.1,income,1000,954,40,0,0,0.0
adult,1000,1,MST_eps100,QI1,5,0.1,_overall,1000,954,64,1000,10,0.01
adult,1000,1,MST_eps1000,QI1,5,0.1,workclass,1000,954,50,294,1,0.001
adult,1000,1,MST_eps1000,QI1,5,0.1,fnlwgt,1000,954,0,1000,0,0.0
adult,1000,1,MST_eps1000,QI1,5,0.1,education-num,1000,954,20,272,1,0.001
adult,1000,1,MST_eps1000,QI1,5,0.1,occupation,1000,954,14,381,2,0.002
adult,1000,1,MST_eps1000,QI1,5,0.1,relationship,1000,954,52,75,2,0.002
adult,1000,1,MST_eps1000,QI1,5,0.1,capital-gain,1000,954,0,95,0,0.0
adult,1000,1,MST_eps1000,QI1,5,0.1,capital-loss,1000,954,0,43,0,0.0
adult,1000,1,MST_eps1000,QI1,5,0.1,hours-per-week,1000,954,6,563,6,0.006
adult,1000,1,MST_eps1000,QI1,5,0.1,income,1000,954,47,0,0,0.0
adult,1000,1,MST_eps1000,QI1,5,0.1,_overall,1000,954,67,1000,11,0.011
adult,1000,2,AIM_eps1,QI1,5,0.1,workclass,1000,953,34,302,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,fnlwgt,1000,953,0,1000,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,education-num,1000,953,21,304,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,occupation,1000,953,10,280,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,relationship,1000,953,55,82,1,0.001
adult,1000,2,AIM_eps1,QI1,5,0.1,capital-gain,1000,953,66,81,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,capital-loss,1000,953,69,49,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,hours-per-week,1000,953,32,503,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,income,1000,953,47,0,0,0.0
adult,1000,2,AIM_eps1,QI1,5,0.1,_overall,1000,953,76,1000,1,0.001
adult,1000,2,MST_eps1,QI1,5,0.1,workclass,1000,953,48,302,1,0.001
adult,1000,2,MST_eps1,QI1,5,0.1,fnlwgt,1000,953,0,1000,0,0.0
adult,1000,2,MST_eps1,QI1,5,0.1,education-num,1000,953,63,304,0,0.0
adult,1000,2,MST_eps1,QI1,5,0.1,occupation,1000,953,13,280,2,0.002
adult,1000,2,MST_eps1,QI1,5,0.1,relationship,1000,953,66,82,1,0.001
adult,1000,2,MST_eps1,QI1,5,0.1,capital-gain,1000,953,82,81,0,0.0
adult,1000,2,MST_eps1,QI1,5,0.1,capital-loss,1000,953,80,49,0,0.0
adult,1000,2,MST_eps1,QI1,5,0.1,hours-per-week,1000,953,33,503,1,0.001
adult,1000,2,MST_eps1,QI1,5,0.1,income,1000,953,48,0,0,0.0
adult,1000,2,MST_eps1,QI1,5,0.1,_overall,1000,953,88,1000,5,0.005
adult,1000,2,MST_eps10,QI1,5,0.1,workclass,1000,953,48,302,0,0.0
adult,1000,2,MST_eps10,QI1,5,0.1,fnlwgt,1000,953,0,1000,0,0.0
adult,1000,2,MST_eps10,QI1,5,0.1,education-num,1000,953,55,304,12,0.012
adult,1000,2,MST_eps10,QI1,5,0.1,occupation,1000,953,16,280,3,0.003
adult,1000,2,MST_eps10,QI1,5,0.1,relationship,1000,953,55,82,4,0.004
adult,1000,2,MST_eps10,QI1,5,0.1,capital-gain,1000,953,65,81,0,0.0
adult,1000,2,MST_eps10,QI1,5,0.1,capital-loss,1000,953,71,49,0,0.0
adult,1000,2,MST_eps10,QI1,5,0.1,hours-per-week,1000,953,0,503,0,0.0
adult,1000,2,MST_eps10,QI1,5,0.1,income,1000,953,53,0,0,0.0
adult,1000,2,MST_eps10,QI1,5,0.1,_overall,1000,953,74,1000,19,0.019
adult,1000,2,MST_eps100,QI1,5,0.1,workclass,1000,953,50,302,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,fnlwgt,1000,953,0,1000,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,education-num,1000,953,18,304,4,0.004
adult,1000,2,MST_eps100,QI1,5,0.1,occupation,1000,953,20,280,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,relationship,1000,953,57,82,2,0.002
adult,1000,2,MST_eps100,QI1,5,0.1,capital-gain,1000,953,0,81,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,capital-loss,1000,953,0,49,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,hours-per-week,1000,953,0,503,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,income,1000,953,52,0,0,0.0
adult,1000,2,MST_eps100,QI1,5,0.1,_overall,1000,953,71,1000,6,0.006
adult,1000,2,MST_eps1000,QI1,5,0.1,workclass,1000,953,50,302,0,0.0
adult,1000,2,MST_eps1000,QI1,5,0.1,fnlwgt,1000,953,0,1000,0,0.0
adult,1000,2,MST_eps1000,QI1,5,0.1,education-num,1000,953,35,304,3,0.003
adult,1000,2,MST_eps1000,QI1,5,0.1,occupation,1000,953,19,280,0,0.0
adult,1000,2,MST_eps1000,QI1,5,0.1,relationship,1000,953,59,82,4,0.004
adult,1000,2,MST_eps1000,QI1,5,0.1,capital-gain,1000,953,0,81,0,0.0
adult,1000,2,MST_eps1000,QI1,5,0.1,capital-loss,1000,953,0,49,0,0.0
adult,1000,2,MST_eps1000,QI1,5,0.1,hours-per-week,1000,953,2,503,2,0.002
adult,1000,2,MST_eps1000,QI1,5,0.1,income,1000,953,54,0,0,0.0
adult,1000,2,MST_eps1000,QI1,5,0.1,_overall,1000,953,74,1000,8,0.008
adult,1000,3,AIM_eps1,QI1,5,0.1,workclass,1000,946,32,287,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,fnlwgt,1000,946,0,1000,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,education-num,1000,946,5,262,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,occupation,1000,946,9,262,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,relationship,1000,946,45,66,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,capital-gain,1000,946,47,85,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,capital-loss,1000,946,50,35,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,hours-per-week,1000,946,22,515,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,income,1000,946,32,0,0,0.0
adult,1000,3,AIM_eps1,QI1,5,0.1,_overall,1000,946,53,1000,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,workclass,1000,946,45,287,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,fnlwgt,1000,946,0,1000,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,education-num,1000,946,49,262,1,0.001
adult,1000,3,MST_eps1,QI1,5,0.1,occupation,1000,946,9,262,1,0.001
adult,1000,3,MST_eps1,QI1,5,0.1,relationship,1000,946,74,66,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,capital-gain,1000,946,80,85,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,capital-loss,1000,946,76,35,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,hours-per-week,1000,946,33,515,2,0.002
adult,1000,3,MST_eps1,QI1,5,0.1,income,1000,946,46,0,0,0.0
adult,1000,3,MST_eps1,QI1,5,0.1,_overall,1000,946,83,1000,4,0.004
adult,1000,3,MST_eps10,QI1,5,0.1,workclass,1000,946,53,287,2,0.002
adult,1000,3,MST_eps10,QI1,5,0.1,fnlwgt,1000,946,0,1000,0,0.0
adult,1000,3,MST_eps10,QI1,5,0.1,education-num,1000,946,47,262,9,0.009
adult,1000,3,MST_eps10,QI1,5,0.1,occupation,1000,946,8,262,1,0.001
adult,1000,3,MST_eps10,QI1,5,0.1,relationship,1000,946,48,66,3,0.003
adult,1000,3,MST_eps10,QI1,5,0.1,capital-gain,1000,946,69,85,0,0.0
adult,1000,3,MST_eps10,QI1,5,0.1,capital-loss,1000,946,74,35,0,0.0
adult,1000,3,MST_eps10,QI1,5,0.1,hours-per-week,1000,946,0,515,0,0.0
adult,1000,3,MST_eps10,QI1,5,0.1,income,1000,946,67,0,0,0.0
adult,1000,3,MST_eps10,QI1,5,0.1,_overall,1000,946,77,1000,13,0.013
adult,1000,3,MST_eps100,QI1,5,0.1,workclass,1000,946,54,287,1,0.001
adult,1000,3,MST_eps100,QI1,5,0.1,fnlwgt,1000,946,0,1000,0,0.0
adult,1000,3,MST_eps100,QI1,5,0.1,education-num,1000,946,31,262,7,0.007
adult,1000,3,MST_eps100,QI1,5,0.1,occupation,1000,946,15,262,1,0.001
adult,1000,3,MST_eps100,QI1,5,0.1,relationship,1000,946,53,66,4,0.004
adult,1000,3,MST_eps100,QI1,5,0.1,capital-gain,1000,946,0,85,0,0.0
adult,1000,3,MST_eps100,QI1,5,0.1,capital-loss,1000,946,0,35,0,0.0
adult,1000,3,MST_eps100,QI1,5,0.1,hours-per-week,1000,946,1,515,1,0.001
adult,1000,3,MST_eps100,QI1,5,0.1,income,1000,946,59,0,0,0.0
adult,1000,3,MST_eps100,QI1,5,0.1,_overall,1000,946,72,1000,13,0.013
adult,1000,3,MST_eps1000,QI1,5,0.1,workclass,1000,946,52,287,2,0.002
adult,1000,3,MST_eps1000,QI1,5,0.1,fnlwgt,1000,946,0,1000,0,0.0
adult,1000,3,MST_eps1000,QI1,5,0.1,education-num,1000,946,30,262,6,0.006
adult,1000,3,MST_eps1000,QI1,5,0.1,occupation,1000,946,15,262,1,0.001
adult,1000,3,MST_eps1000,QI1,5,0.1,relationship,1000,946,48,66,3,0.003
adult,1000,3,MST_eps1000,QI1,5,0.1,capital-gain,1000,946,0,85,0,0.0
adult,1000,3,MST_eps1000,QI1,5,0.1,capital-loss,1000,946,0,35,0,0.0
adult,1000,3,MST_eps1000,QI1,5,0.1,hours-per-week,1000,946,2,515,2,0.002
adult,1000,3,MST_eps1000,QI1,5,0.1,income,1000,946,55,0,0,0.0
adult,1000,3,MST_eps1000,QI1,5,0.1,_overall,1000,946,75,1000,12,0.012
adult,1000,4,AIM_eps1,QI1,5,0.1,workclass,1000,952,23,289,2,0.002
adult,1000,4,AIM_eps1,QI1,5,0.1,fnlwgt,1000,952,0,1000,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,education-num,1000,952,28,301,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,occupation,1000,952,13,263,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,relationship,1000,952,49,80,3,0.003
adult,1000,4,AIM_eps1,QI1,5,0.1,capital-gain,1000,952,68,74,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,capital-loss,1000,952,61,43,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,hours-per-week,1000,952,16,542,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,income,1000,952,42,0,0,0.0
adult,1000,4,AIM_eps1,QI1,5,0.1,_overall,1000,952,75,1000,5,0.005
adult,1000,4,MST_eps1,QI1,5,0.1,workclass,1000,952,44,289,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,fnlwgt,1000,952,0,1000,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,education-num,1000,952,48,301,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,occupation,1000,952,9,263,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,relationship,1000,952,65,80,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,capital-gain,1000,952,72,74,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,capital-loss,1000,952,74,43,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,hours-per-week,1000,952,23,542,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,income,1000,952,53,0,0,0.0
adult,1000,4,MST_eps1,QI1,5,0.1,_overall,1000,952,79,1000,0,0.0
adult,1000,4,MST_eps10,QI1,5,0.1,workclass,1000,952,88,289,0,0.0
adult,1000,4,MST_eps10,QI1,5,0.1,fnlwgt,1000,952,0,1000,0,0.0
adult,1000,4,MST_eps10,QI1,5,0.1,education-num,1000,952,103,301,19,0.019
adult,1000,4,MST_eps10,QI1,5,0.1,occupation,1000,952,22,263,1,0.001
adult,1000,4,MST_eps10,QI1,5,0.1,relationship,1000,952,99,80,4,0.004
adult,1000,4,MST_eps10,QI1,5,0.1,capital-gain,1000,952,120,74,0,0.0
adult,1000,4,MST_eps10,QI1,5,0.1,capital-loss,1000,952,127,43,0,0.0
adult,1000,4,MST_eps10,QI1,5,0.1,hours-per-week,1000,952,1,542,1,0.001
adult,1000,4,MST_eps10,QI1,5,0.1,income,1000,952,101,0,0,0.0
adult,1000,4,MST_eps10,QI1,5,0.1,_overall,1000,952,131,1000,24,0.024
adult,1000,4,MST_eps100,QI1,5,0.1,workclass,1000,952,45,289,1,0.001
adult,1000,4,MST_eps100,QI1,5,0.1,fnlwgt,1000,952,0,1000,0,0.0
adult,1000,4,MST_eps100,QI1,5,0.1,education-num,1000,952,20,301,5,0.005
adult,1000,4,MST_eps100,QI1,5,0.1,occupation,1000,952,8,263,0,0.0
adult,1000,4,MST_eps100,QI1,5,0.1,relationship,1000,952,45,80,4,0.004
adult,1000,4,MST_eps100,QI1,5,0.1,capital-gain,1000,952,0,74,0,0.0
adult,1000,4,MST_eps100,QI1,5,0.1,capital-loss,1000,952,0,43,0,0.0
adult,1000,4,MST_eps100,QI1,5,0.1,hours-per-week,1000,952,1,542,1,0.001
adult,1000,4,MST_eps100,QI1,5,0.1,income,1000,952,51,0,0,0.0
adult,1000,4,MST_eps100,QI1,5,0.1,_overall,1000,952,66,1000,11,0.011
adult,1000,4,MST_eps1000,QI1,5,0.1,workclass,1000,952,44,289,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,fnlwgt,1000,952,0,1000,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,education-num,1000,952,33,301,5,0.005
adult,1000,4,MST_eps1000,QI1,5,0.1,occupation,1000,952,5,263,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,relationship,1000,952,44,80,4,0.004
adult,1000,4,MST_eps1000,QI1,5,0.1,capital-gain,1000,952,0,74,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,capital-loss,1000,952,0,43,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,hours-per-week,1000,952,0,542,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,income,1000,952,53,0,0,0.0
adult,1000,4,MST_eps1000,QI1,5,0.1,_overall,1000,952,66,1000,9,0.009
adult,10000,0,AIM_eps1,QI1,5,0.1,workclass,10000,5206,572,2962,1,0.0001
adult,10000,0,AIM_eps1,QI1,5,0.1,fnlwgt,10000,5206,0,10000,0,0.0
adult,10000,0,AIM_eps1,QI1,5,0.1,education-num,10000,5206,581,2870,120,0.012
adult,10000,0,AIM_eps1,QI1,5,0.1,occupation,10000,5206,210,2783,7,0.0007
adult,10000,0,AIM_eps1,QI1,5,0.1,relationship,10000,5206,560,756,27,0.0027
adult,10000,0,AIM_eps1,QI1,5,0.1,capital-gain,10000,5206,748,829,0,0.0
adult,10000,0,AIM_eps1,QI1,5,0.1,capital-loss,10000,5206,768,444,0,0.0
adult,10000,0,AIM_eps1,QI1,5,0.1,hours-per-week,10000,5206,6,5344,2,0.0002
adult,10000,0,AIM_eps1,QI1,5,0.1,income,10000,5206,670,0,0,0.0
adult,10000,0,AIM_eps1,QI1,5,0.1,_overall,10000,5206,815,10000,148,0.0148
adult,10000,0,MST_eps1,QI1,5,0.1,workclass,10000,5206,1124,2962,7,0.0007
adult,10000,0,MST_eps1,QI1,5,0.1,fnlwgt,10000,5206,0,10000,0,0.0
adult,10000,0,MST_eps1,QI1,5,0.1,education-num,10000,5206,1206,2870,253,0.0253
adult,10000,0,MST_eps1,QI1,5,0.1,occupation,10000,5206,387,2783,5,0.0005
adult,10000,0,MST_eps1,QI1,5,0.1,relationship,10000,5206,1215,756,67,0.0067
adult,10000,0,MST_eps1,QI1,5,0.1,capital-gain,10000,5206,1556,829,0,0.0
adult,10000,0,MST_eps1,QI1,5,0.1,capital-loss,10000,5206,1620,444,0,0.0
adult,10000,0,MST_eps1,QI1,5,0.1,hours-per-week,10000,5206,12,5344,2,0.0002
adult,10000,0,MST_eps1,QI1,5,0.1,income,10000,5206,1221,0,0,0.0
adult,10000,0,MST_eps1,QI1,5,0.1,_overall,10000,5206,1697,10000,309,0.0309
adult,10000,0,MST_eps10,QI1,5,0.1,workclass,10000,5206,571,2962,2,0.0002
adult,10000,0,MST_eps10,QI1,5,0.1,fnlwgt,10000,5206,0,10000,0,0.0
adult,10000,0,MST_eps10,QI1,5,0.1,education-num,10000,5206,270,2870,58,0.0058
adult,10000,0,MST_eps10,QI1,5,0.1,occupation,10000,5206,225,2783,7,0.0007
adult,10000,0,MST_eps10,QI1,5,0.1,relationship,10000,5206,580,756,30,0.003
adult,10000,0,MST_eps10,QI1,5,0.1,capital-gain,10000,5206,0,829,0,0.0
adult,10000,0,MST_eps10,QI1,5,0.1,capital-loss,10000,5206,0,444,0,0.0
adult,10000,0,MST_eps10,QI1,5,0.1,hours-per-week,10000,5206,32,5344,12,0.0012
adult,10000,0,MST_eps10,QI1,5,0.1,income,10000,5206,629,0,0,0.0
adult,10000,0,MST_eps10,QI1,5,0.1,_overall,10000,5206,825,10000,104,0.0104
adult,10000,0,MST_eps100,QI1,5,0.1,workclass,10000,5206,574,2962,2,0.0002
adult,10000,0,MST_eps100,QI1,5,0.1,fnlwgt,10000,5206,0,10000,0,0.0
adult,10000,0,MST_eps100,QI1,5,0.1,education-num,10000,5206,341,2870,41,0.0041
adult,10000,0,MST_eps100,QI1,5,0.1,occupation,10000,5206,214,2783,5,0.0005
adult,10000,0,MST_eps100,QI1,5,0.1,relationship,10000,5206,548,756,30,0.003
adult,10000,0,MST_eps100,QI1,5,0.1,capital-gain,10000,5206,0,829,0,0.0
adult,10000,0,MST_eps100,QI1,5,0.1,capital-loss,10000,5206,0,444,0,0.0
adult,10000,0,MST_eps100,QI1,5,0.1,hours-per-week,10000,5206,2,5344,1,0.0001
adult,10000,0,MST_eps100,QI1,5,0.1,income,10000,5206,628,0,0,0.0
adult,10000,0,MST_eps100,QI1,5,0.1,_overall,10000,5206,814,10000,77,0.0077
adult,10000,0,MST_eps1000,QI1,5,0.1,workclass,10000,5206,579,2962,1,0.0001
adult,10000,0,MST_eps1000,QI1,5,0.1,fnlwgt,10000,5206,0,10000,0,0.0
adult,10000,0,MST_eps1000,QI1,5,0.1,education-num,10000,5206,349,2870,48,0.0048
adult,10000,0,MST_eps1000,QI1,5,0.1,occupation,10000,5206,219,2783,1,0.0001
adult,10000,0,MST_eps1000,QI1,5,0.1,relationship,10000,5206,574,756,30,0.003
adult,10000,0,MST_eps1000,QI1,5,0.1,capital-gain,10000,5206,0,829,0,0.0
adult,10000,0,MST_eps1000,QI1,5,0.1,capital-loss,10000,5206,0,444,0,0.0
adult,10000,0,MST_eps1000,QI1,5,0.1,hours-per-week,10000,5206,59,5344,24,0.0024
adult,10000,0,MST_eps1000,QI1,5,0.1,income,10000,5206,653,0,0,0.0
adult,10000,0,MST_eps1000,QI1,5,0.1,_overall,10000,5206,828,10000,99,0.0099
adult,10000,1,AIM_eps1,QI1,5,0.1,workclass,10000,5112,524,2943,2,0.0002
adult,10000,1,AIM_eps1,QI1,5,0.1,fnlwgt,10000,5112,0,10000,0,0.0
adult,10000,1,AIM_eps1,QI1,5,0.1,education-num,10000,5112,516,2861,126,0.0126
