dataset,size,sample,sdg,qi,eq_threshold,rare_threshold,feature,n_targets,n_es,n_is,n_rs,n_eirs,ds
adult,1000,0,AIM_eps1,QI1,5,0.1,workclass,1000,979,51,293,2,0.002
adult,1000,0,AIM_eps1,QI1,5,0.1,fnlwgt,1000,979,0,1000,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,education-num,1000,979,9,309,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,occupation,1000,979,9,262,2,0.002
adult,1000,0,AIM_eps1,QI1,5,0.1,relationship,1000,979,74,82,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,capital-gain,1000,979,80,84,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,capital-loss,1000,979,83,43,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,hours-per-week,1000,979,31,551,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,income,1000,979,58,0,0,0.0
adult,1000,0,AIM_eps1,QI1,5,0.1,_overall,1000,979,90,1000,4,0.004
adult,1000,0,MST_eps1,QI1,5,0.1,workclass,1000,979,51,293,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,fnlwgt,1000,979,0,1000,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,education-num,1000,979,54,309,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,occupation,1000,979,10,262,2,0.002
adult,1000,0,MST_eps1,QI1,5,0.1,relationship,1000,979,74,82,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,capital-gain,1000,979,84,84,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,capital-loss,1000,979,84,43,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,hours-per-week,1000,979,23,551,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,income,1000,979,50,0,0,0.0
adult,1000,0,MST_eps1,QI1,5,0.1,_overall,1000,979,90,1000,2,0.002
adult,1000,0,MST_eps10,QI1,5,0.1,workclass,1000,979,47,293,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,fnlwgt,1000,979,0,1000,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,education-num,1000,979,51,309,12,0.012
adult,1000,0,MST_eps10,QI1,5,0.1,occupation,1000,979,15,262,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,relationship,1000,979,42,82,2,0.002
adult,1000,0,MST_eps10,QI1,5,0.1,capital-gain,1000,979,67,84,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,capital-loss,1000,979,65,43,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,hours-per-week,1000,979,0,551,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,income,1000,979,57,0,0,0.0
adult,1000,0,MST_eps10,QI1,5,0.1,_overall,1000,979,71,1000,14,0.014
adult,1000,0,MST_eps100,QI1,5,0.1,workclass,1000,979,52,293,2,0.002
adult,1000,0,MST_eps100,QI1,5,0.1,fnlwgt,1000,979,0,1000,0,0.0
adult,1000,0,MST_eps100,QI1,5,0.1,education-num,1000,979,20,309,5,0.005
adult,1000,0,MST_eps100,QI1,5,0.1,occupation,1000,979,19,262,2,0.002
adult,1000,0,MST_eps100,QI1,5,0.1,relationship,1000,979,54,82,2,0.002
adult,1000,0,MST_eps100,QI1,5,0.1,capital-gain,1000,979,0,84,0,0.0
adult,1000,0,MST_eps100,QI1,5,0.1,capital-loss,1000,979,0,43,0,0.0
adult,1000,0,MST_eps100,QI1,5,0.1,hours-per-week,1000,979,1,551,1,0.001
adult,1000,0,MST_eps100,QI1,5,0.1,income,1000,979,58,0,0,0.0
adult,1000,0,MST_eps100,QI1,5,0.1,_overall,1000,979,78,1000,9,0.009
adult,1000,0,MST_eps1000,QI1,5,0.1,workclass,1000,979,52,293,0,0.0
adult,1000,0,MST_eps1000,QI1,5,0.1,fnlwgt,1000,979,0,1000,0,0.0
adult,1000,0,MST_eps1000,QI1,5,0.1,education-num,1000,979,31,309,5,0.005
adult,1000,0,MST_eps1000,QI1,5,0.1,occupation,1000,979,22,262,1,0.001
adult,1000,0,MST_eps1000,QI1,5,0.1,relationship,1000,979,53,82,3,0.003
adult,1000,0,MST_eps1000,QI1,5,0.1,capital-gain,1000,979,0,84,0,0.0
adult,1000,0,MST_eps1000,QI1,5,0.1,capital-loss,1000,979,0,43,0,0.0
adult,1000,0,MST_eps1000,QI1,5,0.1,hours-per-week,1000,979,2,551,2,0.002
adult,1000,0,MST_eps1000,QI1,5,0.1,income,1000,979,56,0,0,0.0
adult,1000,0,MST_eps1000,QI1,5,0.1,_overall,1000,979,77,1000,10,0.01
adult,1000,1,AIM_eps1,QI1,5,0.1,workclass,1000,954,57,294,1,0.001
adult,1000,1,AIM_eps1,QI1,5,0.1,fnlwgt,1000,954,0,1000,0,0.0
adult,1000,1,AIM_eps1,QI1,5,0.1,education-num,1000,954,36,272,0,0.0
adult,1000,1,AIM_eps1,QI1,5,0.1,occupation,1000,954,21,381,2,0.002
adult,1000,1,AIM_eps1,QI1,5,0.1,relationship,1000,954,84,75,0,0.0
adult,1000,1,AIM_eps1,QI1,5,0.1,capital-gain,1000,954,97,95,0,0.0
adult,1000,1,AIM_eps1,QI1,5,0.1,capital-loss,1000,954,98,43,0,0.0
