dataset,sdg_method,epsilon,qi,SynthDistance_auc,SynthDistance_advantage,SynthDistance_tpr_at_fpr001,NNDR_auc,NNDR_advantage,NNDR_tpr_at_fpr001,RA_as_MIA_auc,RA_as_MIA_advantage,RA_as_MIA_tpr_at_fpr001
adult,MST,1.0,QI1,0.5069,0.0151,0.0115,0.5008,0.0095,0.0124,0.5016,0.0067,0.0
adult,MST,1000.0,QI1,0.5034,0.0151,0.0126,0.4982,0.0074,0.0085,0.503,0.0132,0.0
adult,PrivBayes,1.0,QI1,0.5041,0.0098,0.0113,0.4971,0.0171,0.0097,0.5002,0.007,0.0
adult,PrivBayes,1000.0,QI1,0.5102,0.0199,0.0106,0.5042,0.0156,0.014,0.5071,0.0161,0.0
adult,PrivSyn,1.0,QI1,0.5049,0.0121,0.0123,0.5016,0.012,0.012,0.4965,0.0051,0.0
adult,PrivSyn,1000.0,QI1,0.5037,0.0106,0.0111,0.4975,0.0067,0.0124,0.5032,0.0102,0.0
adult,MWEMPGM,1.0,QI1,0.5065,0.0165,0.0116,0.5011,0.0125,0.0094,0.5024,0.0103,0.0
adult,MWEMPGM,1000.0,QI1,0.5084,0.0167,0.0113,0.5028,0.0117,0.0114,0.5045,0.0121,0.0
adult,PrivateGSD,1.0,QI1,0.5048,0.0135,0.0128,0.4984,0.009,0.0114,0.5056,0.0114,0.0
adult,PrivateGSD,1000.0,QI1,0.5139,0.025,0.0099,0.5102,0.0233,0.0141,0.5008,0.0078,0.0
adult,CellSuppression,,QI1,0.9629,0.9571,0.9575,0.973,0.9575,0.9575,0.6475,0.2371,0.0
adult,RankSwap,,QI1,0.8197,0.5083,0.0485,0.8701,0.7021,0.5201,0.5735,0.1183,0.0
adult,TabDDPM,,QI1,0.7714,0.5061,0.497,0.7895,0.5553,0.5468,0.615,0.1958,0.0
adult,Synthpop,,QI1,0.549,0.0717,0.036,0.5795,0.1294,0.0458,0.5141,0.0282,0.0
cdc_diabetes,MST,1.0,QI1,0.5067,0.033,0.01,0.5097,0.032,0.009,0.5078,0.032,0.0
cdc_diabetes,MST,1000.0,QI1,0.5223,0.047,0.009,0.5305,0.065,0.01,0.5069,0.025,0.0
cdc_diabetes,PrivBayes,1.0,QI1,0.5185,0.04,0.017,0.5266,0.06,0.009,0.5019,0.029,0.0
cdc_diabetes,PrivBayes,1000.0,QI1,0.5497,0.078,0.017,0.5571,0.111,0.019,0.5173,0.035,0.0
cdc_diabetes,PrivSyn,1.0,QI1,0.4873,0.01,0.012,0.4924,0.011,0.011,0.5089,0.035,0.0
cdc_diabetes,PrivSyn,1000.0,QI1,0.5181,0.046,0.007,0.527,0.052,0.013,0.5075,0.028,0.0
cdc_diabetes,MWEMPGM,1.0,QI1,0.5109,0.031,0.014,0.5052,0.031,0.016,0.5024,0.022,0.0
cdc_diabetes,MWEMPGM,1000.0,QI1,0.5127,0.035,0.023,0.5181,0.04,0.015,0.5085,0.026,0.0
cdc_diabetes,PrivateGSD,1.0,QI1,0.5147,0.057,0.004,0.5087,0.032,0.002,0.5006,0.026,0.0
cdc_diabetes,PrivateGSD,1000.0,QI1,0.5387,0.075,0.019,0.55,0.101,0.018,0.5116,0.026,0.0
cdc_diabetes,CellSuppression,,QI1,0.6181,0.365,0.369,0.6411,0.369,0.369,0.6066,0.243,0.0
cdc_diabetes,RankSwap,,QI1,0.9885,0.948,0.74,0.9975,0.992,0.995,0.7689,0.525,0.0
cdc_diabetes,TabDDPM,,QI1,0.8018,0.615,0.622,0.8085,0.616,0.622,0.6962,0.399,0.0
cdc_diabetes,Synthpop,,QI1,0.5659,0.111,0.015,0.5957,0.171,0.028,0.5243,0.06,0.0
nist_arizona_25feat,MST,1.0,QI_medium,0.5019,0.0098,0.0,0.5165,0.0692,0.009,0.4979,0.0044,0.0
nist_arizona_25feat,MST,1000.0,QI_medium,0.5013,0.0075,0.0,0.5159,0.0696,0.011,0.4978,0.0038,0.0
nist_arizona_25feat,PrivBayes,1.0,QI_medium,0.5016,0.011,0.0079,0.5112,0.0667,0.0121,0.5026,0.0087,0.0111
nist_arizona_25feat,PrivBayes,1000.0,QI_medium,0.5075,0.0187,0.0081,0.5185,0.0687,0.0081,0.5002,0.0075,0.0
nist_arizona_25feat,PrivSyn,1.0,QI_medium,0.5006,0.0063,0.0037,0.5228,0.0684,0.0115,0.5005,0.007,0.0
nist_arizona_25feat,PrivSyn,1000.0,QI_medium,0.5031,0.0109,0.008,0.5324,0.0683,0.012,0.5038,0.0146,0.0
nist_arizona_25feat,MWEMPGM,1.0,QI_medium,0.4987,0.0048,0.0103,0.5078,0.0666,0.0117,0.5005,0.0064,0.0
nist_arizona_25feat,MWEMPGM,1000.0,QI_medium,0.4985,0.0061,0.0119,0.5073,0.0666,0.0107,0.4994,0.0061,0.0
nist_arizona_25feat,PrivateGSD,1.0,QI_medium,0.5038,0.0092,0.0,0.5174,0.0691,0.0106,0.4983,0.0029,0.0
nist_arizona_25feat,PrivateGSD,1000.0,QI_medium,0.5085,0.0196,0.0001,0.521,0.0703,0.0094,0.5029,0.0114,0.0
nist_arizona_25feat,CellSuppression,,QI_medium,0.9315,0.8794,0.0,0.9627,0.9443,0.9443,0.6171,0.1838,0.0
nist_arizona_25feat,RankSwap,,QI_medium,0.8402,0.6363,0.0,0.9076,0.7911,0.0445,0.5527,0.081,0.0
nist_arizona_25feat,TabDDPM,,QI_medium,0.7193,0.3861,0.0,0.7993,0.5236,0.4688,0.5715,0.1161,0.0
nist_arizona_25feat,Synthpop,,QI_medium,0.5137,0.0299,0.0,0.5613,0.0807,0.0399,0.5061,0.0148,0.0
