dataset,sdg_method,epsilon,qi,SynthDistance_auc,SynthDistance_advantage,SynthDistance_tpr_at_fpr001,NNDR_auc,NNDR_advantage,NNDR_tpr_at_fpr001,RA_as_MIA_auc,RA_as_MIA_advantage,RA_as_MIA_tpr_at_fpr001
adult,PrivBayes,1.0,QI1,0.4886,0.015,0.013,0.5142,0.047,0.021,0.5183,0.048,0.011
adult,PrivBayes,1000.0,QI1,0.5339,0.057,0.033,0.5664,0.111,0.049,0.5074,0.025,0.0
adult,PrivSyn,1.0,QI1,0.5087,0.028,0.009,0.5275,0.05,0.011,0.494,0.013,0.0
adult,PrivSyn,1000.0,QI1,0.5099,0.038,0.008,0.5311,0.059,0.013,0.5143,0.038,0.0
adult,MWEMPGM,1.0,QI1,0.4962,0.022,0.009,0.5157,0.048,0.02,0.4977,0.031,0.0
adult,MWEMPGM,1000.0,QI1,0.5028,0.026,0.011,0.5267,0.056,0.02,0.5106,0.046,0.0
adult,MST,1.0,QI1,0.4907,0.017,0.009,0.5187,0.047,0.008,0.5099,0.033,0.0
adult,MST,1000.0,QI1,0.5065,0.028,0.017,0.5354,0.069,0.025,0.525,0.056,0.0
adult,PrivateGSD,1.0,QI1,0.4934,0.017,0.017,0.5223,0.05,0.015,0.4914,0.017,0.009
adult,PrivateGSD,1000.0,QI1,0.5325,0.068,0.021,0.5707,0.124,0.032,0.5061,0.031,0.0
adult,CellSuppression,,QI1,0.833,0.771,0.771,0.8484,0.771,0.771,0.741,0.447,0.0
adult,RankSwap,,QI1,0.9586,0.809,0.304,0.9823,0.937,0.938,0.6636,0.301,0.0
adult,Synthpop,,QI1,0.5603,0.106,0.017,0.6135,0.201,0.045,0.535,0.058,0.0
adult,TabDDPM,,QI1,0.7804,0.566,0.569,0.7938,0.592,0.602,0.7131,0.413,0.0
